,nb_days
1995,3.2
1996,3.8000000000000003
1997,3.7
1998,3.9000000000000004
1999,2.9000000000000004
2000,3.0000000000000004
2001,3.7000000000000006
2002,3.7000000000000006
2003,3.1000000000000005
2004,3.1000000000000005
2005,2.9000000000000004
2006,1.7000000000000002
2007,4.0
2008,5.3
2009,5.7
2010,6.000000000000001
2011,5.9
2012,6.5
2013,7.800000000000001
2014,7.800000000000001
2015,8.0
2016,8.3
2017,7.300000000000001
2018,7.700000000000001
2019,7.800000000000001
2020,7.4
2021,7.4
2022,10.200000000000001
2023,11.400000000000002
2024,11.600000000000001
2025,14.2
2026,14.900000000000002
2027,21.1
2028,20.700000000000003
2029,21.900000000000002
2030,22.400000000000002
2031,23.5
2032,26.200000000000003
2033,25.2
2034,27.2
2035,29.0
2036,32.7
2037,28.0
2038,34.7
2039,36.9
2040,42.2
2041,48.9
2042,45.400000000000006
2043,49.400000000000006
2044,52.000000000000014
2045,52.300000000000004
2046,54.900000000000006
2047,59.300000000000004
2048,61.1
2049,60.0
2050,60.5
2051,61.699999999999996
2052,66.7
2053,70.3
2054,73.7
2055,79.50000000000001
2056,79.0
2057,81.50000000000001
2058,81.20000000000002
2059,86.90000000000002
2060,87.10000000000001
2061,86.9
2062,89.4
2063,92.20000000000002
2064,95.6
2065,99.30000000000001
2066,103.50000000000001
2067,108.00000000000001
2068,108.9
2069,114.2
2070,120.9
2071,123.9
2072,125.80000000000001
2073,128.6
2074,133.4
2075,133.20000000000002
2076,135.20000000000002
2077,136.3
2078,141.9
2079,143.2
2080,147.1
2081,150.6
2082,154.50000000000003
2083,159.00000000000003
2084,158.8
2085,157.5
2086,163.40000000000003
2087,167.30000000000004
2088,168.60000000000002
2089,172.0
2090,174.30000000000004
2091,178.0
2092,181.1
2093,181.10000000000002
2094,182.70000000000002
2095,189.00000000000006
