,nb_days
1995,2.0
1996,2.6
1997,2.3000000000000003
1998,2.3000000000000003
1999,1.4000000000000001
2000,1.8000000000000003
2001,2.4000000000000004
2002,2.6
2003,3.0
2004,2.9
2005,3.6
2006,3.0
2007,5.0
2008,6.8
2009,8.6
2010,8.6
2011,9.2
2012,9.2
2013,8.8
2014,8.4
2015,14.2
2016,14.2
2017,13.1
2018,12.9
2019,11.6
2020,13.1
2021,13.100000000000001
2022,16.700000000000003
2023,16.700000000000003
2024,16.700000000000003
2025,12.000000000000002
2026,15.700000000000003
2027,15.200000000000001
2028,14.300000000000002
2029,16.400000000000002
2030,19.2
2031,19.7
2032,15.900000000000002
2033,19.900000000000002
2034,22.000000000000004
2035,21.900000000000002
2036,22.300000000000004
2037,23.6
2038,24.000000000000004
2039,25.300000000000004
2040,23.8
2041,24.900000000000002
2042,26.6
2043,24.1
2044,27.600000000000005
2045,28.400000000000002
2046,30.000000000000004
2047,30.3
2048,32.7
2049,34.0
2050,33.4
2051,38.1
2052,38.4
2053,43.2
2054,42.2
2055,47.300000000000004
2056,50.800000000000004
2057,56.2
2058,60.7
2059,64.5
2060,64.30000000000001
2061,63.50000000000001
2062,65.9
2063,63.70000000000001
2064,61.80000000000001
2065,62.30000000000001
2066,59.80000000000001
2067,57.2
2068,51.5
2069,50.6
2070,49.49999999999999
2071,46.0
2072,47.7
2073,51.0
2074,58.5
2075,56.6
2076,57.800000000000004
2077,61.400000000000006
2078,67.7
2079,66.2
2080,73.5
2081,76.7
2082,80.9
2083,82.5
2084,81.20000000000002
2085,86.1
2086,88.00000000000001
2087,87.0
2088,85.7
2089,90.00000000000001
2090,90.80000000000001
2091,95.00000000000003
2092,95.0
2093,96.3
2094,98.89999999999999
2095,100.4
