,nb_days
1995,2.3000000000000003
1996,3.2
1997,3.9
1998,4.0
1999,4.5
2000,3.9
2001,4.5
2002,4.8
2003,4.9
2004,5.500000000000001
2005,5.800000000000001
2006,5.7
2007,5.7
2008,6.9
2009,7.900000000000001
2010,6.9
2011,7.4
2012,8.700000000000001
2013,9.3
2014,10.0
2015,9.9
2016,10.3
2017,10.2
2018,9.900000000000002
2019,12.3
2020,13.400000000000002
2021,12.7
2022,11.8
2023,14.2
2024,14.6
2025,15.1
2026,15.1
2027,16.100000000000005
2028,18.1
2029,17.900000000000002
2030,18.2
2031,19.8
2032,23.0
2033,22.5
2034,21.8
2035,20.4
2036,27.0
2037,26.800000000000008
2038,24.1
2039,26.800000000000004
2040,29.0
2041,34.9
2042,36.6
2043,39.3
2044,41.0
2045,46.2
2046,46.2
2047,45.00000000000001
2048,48.2
2049,51.5
2050,52.900000000000006
2051,50.5
2052,56.2
2053,56.9
2054,62.3
2055,67.00000000000001
2056,68.10000000000001
2057,69.20000000000002
2058,66.10000000000001
2059,69.4
2060,77.4
2061,77.5
2062,76.69999999999999
2063,84.0
2064,85.8
2065,90.0
2066,90.8
2067,92.5
2068,94.1
2069,97.5
2070,101.4
2071,108.0
2072,109.4
2073,110.1
2074,110.5
2075,116.10000000000002
2076,119.3
2077,121.79999999999998
2078,127.4
2079,128.4
2080,133.70000000000002
2081,133.7
2082,135.90000000000003
2083,141.0
2084,142.8
2085,139.8
2086,145.0
2087,147.3
2088,147.3
2089,149.3
2090,150.2
2091,154.4
2092,154.8
2093,156.70000000000002
2094,159.29999999999998
2095,164.70000000000002
