time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,28.3,,23.4,,,,
1985-01-02,28.2,,22.9,,,,
1985-01-03,29.3,,24.0,,,,
1985-01-04,29.4,,22.7,,,,
1985-01-05,29.2,,21.6,,,,
1985-01-06,29.0,,23.4,,,,
1985-01-07,29.9,,24.0,,,,
1985-01-08,29.9,,23.9,,,,
1985-01-09,29.8,,24.9,,,,
1985-01-10,26.0,,23.2,,,,
1985-01-11,27.6,,23.0,,,,
1985-01-12,29.2,,23.9,,,,
1985-01-13,29.3,,24.2,,,,
1985-01-14,29.7,,24.9,,,,
1985-01-15,29.1,,24.2,,,,
1985-01-16,29.5,,24.0,,,,
1985-01-17,27.8,,22.8,,,,
1985-01-18,28.6,,22.8,,,,
1985-01-19,29.2,,20.6,,,,
1985-01-20,29.3,,22.9,,,,
1985-01-21,29.8,,24.0,,,,
1985-01-22,28.3,,23.5,,,,
1985-01-23,29.2,,24.3,,,,
1985-01-24,30.0,,22.1,,,,
1985-01-25,29.0,,23.2,,,,
1985-01-26,29.1,,24.0,,,,
1985-01-27,27.7,,23.5,,,,
1985-01-28,29.1,,21.8,,,,
1985-01-29,28.8,,19.6,,,,
1985-01-30,29.4,,19.8,,,,
1985-01-31,29.2,,20.0,,,,
1985-02-01,28.9,,21.2,,,,
1985-02-02,28.9,,25.0,,,,
1985-02-03,29.5,,22.7,,,,
1985-02-04,29.1,,19.6,,,,
1985-02-05,28.8,,22.2,,,,
1985-02-06,28.9,,22.0,,,,
1985-02-07,29.9,,23.5,,,,
1985-02-08,29.7,,24.7,,,,
1985-02-09,29.4,,23.7,,,,
1985-02-10,29.5,,23.1,,,,
1985-02-11,29.2,,22.3,,,,
1985-02-12,29.0,,22.3,,,,
1985-02-13,28.1,,23.1,,,,
1985-02-14,28.8,,24.4,,,,
1985-02-15,29.3,,24.5,,,,
1985-02-16,28.7,,25.0,,,,
1985-02-17,29.3,,25.0,,,,
1985-02-18,28.6,,23.8,,,,
1985-02-19,29.4,,23.5,,,,
1985-02-20,28.4,,22.7,,,,
1985-02-21,28.8,,22.6,,,,
1985-02-22,29.0,,21.3,,,,
1985-02-23,28.3,,21.6,,,,
1985-02-24,28.3,,21.0,,,,
1985-02-25,25.2,,22.2,,,,
1985-02-26,26.8,,22.9,,,,
1985-02-27,28.0,,23.0,,,,
1985-02-28,29.0,,23.6,,,,
1985-03-01,29.2,,24.0,,,,
1985-03-02,30.0,,23.2,,,,
1985-03-03,29.4,,24.0,,,,
1985-03-04,30.1,,24.1,,,,
1985-03-05,30.0,,23.0,,,,
