time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,31.9,56,24.0,87.0,35.70997028810001,24.359,30.03448514405001
1985-01-02,30.5,64,22.8,81.0,34.75265319249999,23.021,28.88682659625
1985-01-03,31.0,52,21.6,80.0,33.025918,21.748000000000005,27.386959
1985-01-04,31.2,48,22.4,78.0,32.55740590719999,22.562,27.559702953599995
1985-01-05,31.0,44,22.8,86.0,31.535257039999976,23.086,27.310628519999987
1985-01-06,30.4,55,22.0,87.0,32.58077428360002,22.259,27.41988714180001
1985-01-07,31.0,55,22.8,81.0,33.67150950999998,23.021,28.34625475499999
1985-01-08,31.3,38,22.7,80.0,31.01380440469997,22.903,26.958402202349987
1985-01-09,31.3,57,22.4,82.0,34.72887686900001,22.614,28.671438434500004
1985-01-10,31.0,42,21.8,80.0,31.2150728,21.958,26.5865364
1985-01-11,31.2,42,21.5,91.0,31.489831048000013,21.786,26.637915524000007
1985-01-12,32.4,48,24.4,80.0,34.61404416879999,24.688,29.6510220844
1985-01-13,32.4,43,25.2,89.0,33.471692038799965,25.645000000000003,29.558346019399984
1985-01-14,26.4,61,22.4,92.0,26.541,22.744,24.6425
1985-01-15,26.1,80,21.3,99.0,26.47300000000001,21.680000000000003,24.076500000000003
1985-01-16,26.4,86,24.0,98.0,28.836425457600008,24.502,26.669212728800005
1985-01-17,29.8,68,24.2,96.0,34.11159985519998,24.686,29.39879992759999
1985-01-18,28.0,82,23.5,96.0,32.42191300000002,23.951,28.18645650000001
1985-01-19,27.5,77,22.7,92.0,30.52957347499996,23.059,26.79428673749998
1985-01-20,28.7,81,24.6,92.0,34.129083199400014,25.054,29.591541599700008
1985-01-21,29.6,72,24.0,95.0,34.53791768,24.463,29.50045884
1985-01-22,28.4,69,24.1,94.0,31.316413682,24.555000000000003,27.935706841
1985-01-23,29.3,67,23.6,91.0,32.811813687999994,23.991000000000003,28.401406844
1985-01-24,30.3,58,23.9,90.0,33.00075749670006,24.293,28.64687874835003
1985-01-25,29.9,55,24.0,95.0,31.72600741960003,24.463,28.094503709800016
1985-01-26,30.0,58,22.3,93.0,32.447546339999974,22.652,27.549773169999987
1985-01-27,30.7,58,22.9,91.0,33.76747252869997,23.256,28.511736264349985
1985-01-28,30.0,65,22.9,87.0,33.88962788999994,23.204,28.54681394499997
1985-01-29,30.5,54,24.0,80.0,32.55968381749996,24.268,28.41384190874998
1985-01-30,32.0,55,22.3,88.0,35.64701365000001,22.587000000000003,29.117006825000008
1985-01-31,29.3,68,22.1,89.0,33.00520711370004,22.39,27.69760355685002
1985-02-01,29.4,73,22.8,89.0,34.26950986680002,23.125,28.69725493340001
1985-02-02,29.3,64,22.5,88.0,32.2527264565,22.797000000000004,27.52486322825
1985-02-03,29.9,62,22.8,91.0,33.04686725149999,23.151000000000003,28.09893362575
1985-02-04,30.1,64,22.8,87.0,33.88267901650003,23.099000000000004,28.490839508250016
1985-02-05,30.2,59,23.6,86.0,33.016923734,23.926,28.471461867
1985-02-06,31.2,53,21.9,83.0,33.59690499720001,22.102,27.8494524986
1985-02-07,32.0,45,22.6,83.0,33.24657605000003,22.837000000000003,28.041788025000017
1985-02-08,31.7,54,25.5,80.0,34.78021311350004,25.843000000000004,30.31160655675002
