time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,30.6,87.0,23.1,98.0,41.97033369399999,23.557,32.763666847
1985-01-02,30.2,64.0,23.0,99.0,34.09673519199999,23.465000000000003,28.780867596
1985-01-03,29.8,74.0,23.4,98.0,35.518491380000015,23.872,29.695245690000007
1985-01-04,30.9,65.0,22.1,99.0,35.92664013060005,22.520000000000003,29.223320065300022
1985-01-05,31.4,61.0,24.1,96.0,35.991276967600015,24.581000000000003,30.28613848380001
1985-01-06,30.9,72.0,24.3,98.0,37.942197812500034,24.817000000000004,31.379598906250017
1985-01-07,30.6,66.0,23.3,98.0,35.48236218159999,23.767000000000003,29.6246810908
1985-01-08,30.3,72.0,24.2,96.0,36.31707294250002,24.686,30.50153647125001
1985-01-09,30.2,67.0,24.4,97.0,34.797877078,24.909,29.853438539
1985-01-10,30.1,62.0,24.7,95.0,33.447732501500006,25.198,29.322866250750003
1985-01-11,29.5,72.0,25.0,95.0,34.29402286249993,25.513,29.903511431249967
1985-01-12,31.3,71.0,24.6,89.0,38.7482460284,25.015,31.8816230142
1985-01-13,30.8,66.0,26.5,89.0,35.95784926640003,29.28757512499999,32.62271219570001
1985-01-14,30.9,72.0,25.2,97.0,37.942197812500034,25.749,31.845598906250014
1985-01-15,30.1,73.0,24.5,98.0,36.054570353800045,25.027,30.540785176900023
1985-01-16,30.5,71.0,24.1,97.0,36.56992894999998,24.594,30.58196447499999
1985-01-17,28.7,74.0,24.4,97.0,32.79143452549998,24.909,28.85021726274999
1985-01-18,30.6,74.0,26.0,94.0,37.70207434800004,26.55,32.12603717400002
1985-01-19,28.7,76.0,23.0,98.0,33.15914924289996,23.452,28.305574621449978
1985-01-20,30.9,69.0,26.5,91.0,37.04750340700001,29.42978674,33.2386450735
1985-01-21,31.1,65.0,25.7,98.0,36.404901866600014,26.287000000000003,31.34595093330001
1985-01-22,31.6,62.0,23.9,99.0,36.73741888400003,24.41,30.573709442000013
1985-01-23,30.0,61.0,23.5,96.0,33.040177649999976,23.951,28.495588824999988
1985-01-24,30.1,60.0,22.1,98.0,33.03012998810001,22.507000000000005,27.768564994050006
1985-01-25,29.6,63.0,22.9,98.0,32.65258779080004,23.347,27.99979389540002
1985-01-26,29.9,68.0,22.5,98.0,34.340170541300026,22.927,28.633585270650013
1985-01-27,30.1,67.0,22.3,98.0,34.567618792000005,22.717,28.642309396
1985-01-28,30.2,63.0,24.5,98.0,33.87189706520004,25.027,29.44944853260002
1985-01-29,30.0,70.0,24.1,97.0,35.046704340000026,24.594,29.82035217000001
1985-01-30,30.1,68.0,23.8,98.0,34.80460405130004,24.292,29.54830202565002
1985-01-31,26.4,83.0,23.4,98.0,28.65098409480003,23.872,26.26149204740001
1985-02-01,30.7,68.0,23.4,98.0,36.25624168370004,23.872,30.06412084185002
1985-02-02,30.8,68.0,26.9,98.0,36.50668878320006,32.23217618874451,34.36943248597228
1985-02-03,30.6,65.0,25.0,96.0,35.22669685559998,25.526000000000003,30.376348427799996
1985-02-04,30.6,66.0,24.5,99.0,35.48236218159999,25.04,30.261181090799997
1985-02-05,30.2,73.0,23.5,98.0,36.31998462519998,23.977000000000004,30.14849231259999
1985-02-06,30.6,67.0,25.5,96.0,35.742871662000056,26.051,30.89693583100003
1985-02-07,31.0,63.0,24.0,98.0,35.62400327,24.502,30.063001635000003
1985-02-08,27.5,77.0,24.1,98.0,30.52957347499996,24.607000000000006,27.56828673749998
1985-02-09,29.9,68.0,23.5,98.0,34.340170541300026,23.977000000000004,29.15858527065001
1985-02-10,26.8,73.0,23.2,98.0,28.75528906120006,23.662,26.20864453060003
1985-02-11,30.6,64.0,24.8,90.0,34.975875683999995,25.238000000000003,30.106937842
1985-02-12,30.2,62.0,24.7,97.0,33.651496856000044,25.224,29.43774842800002
1985-02-13,30.4,68.0,25.0,95.0,35.519484660800046,25.513,30.516242330400026
1985-02-14,30.7,62.0,26.4,93.0,34.703635923500016,29.285375774800045,31.99450584915003
1985-02-15,28.8,73.0,23.9,98.0,32.84091291720005,24.397,28.618956458600024
1985-02-16,30.4,66.0,24.0,97.0,35.01632082559996,24.489,29.752660412799983
1985-02-17,30.5,63.0,23.5,97.0,34.51201360999999,23.964,29.238006804999998
1985-02-18,30.6,69.0,26.5,95.0,36.278423086,29.721069290000017,32.99974618800001
1985-02-19,30.7,69.0,25.8,94.0,36.532318054999976,26.340000000000003,31.43615902749999
1985-02-20,30.8,70.0,25.5,93.0,37.0757139544001,26.012,31.54385697720005
1985-02-21,30.8,72.0,25.0,96.0,37.66492478000001,25.526000000000003,31.595462390000005
1985-02-22,30.6,71.0,24.0,98.0,36.83335112759998,24.502,30.667675563799992
1985-02-23,28.4,74.0,24.7,99.0,32.10302920400005,25.25,28.676514602000022
1985-02-24,30.2,57.0,24.4,95.0,32.61606457399998,24.883,28.749532286999987
1985-02-25,30.6,68.0,26.8,86.0,36.008225296800035,29.89818460951111,32.95320495315557
1985-02-26,30.7,67.0,26.4,96.0,35.985110668000004,29.484748969600016,32.73492981880001
1985-02-27,31.6,63.0,25.5,96.0,37.03285330280004,26.051,31.54192665140002
1985-02-28,30.5,69.0,25.5,94.0,36.02699325499994,26.025,31.025996627499968
1985-03-01,27.8,80.0,24.1,97.0,31.61438339839999,24.594,28.104191699199998
