time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,30.0,65.0,24.1,97.0,33.88962788999994,24.594,29.24181394499997
1985-01-02,31.3,55.0,22.8,93.0,34.243474164399984,23.177,28.710237082199992
1985-01-03,31.0,63.0,22.8,93.0,35.62400327,23.177,29.400501635
1985-01-04,31.4,61.0,23.8,91.0,35.991276967600015,24.201,30.096138483800008
1985-01-05,31.3,50.0,23.4,90.0,33.12708462589999,23.768,28.447542312949995
1985-01-06,31.7,59.0,22.4,95.0,36.10702156400006,22.783,29.44501078200003
1985-01-07,30.3,63.0,22.9,95.0,34.08301280920001,23.308,28.695506404600003
1985-01-08,30.3,52.0,23.1,91.0,31.851860944500014,23.466,27.65893047225001
1985-01-09,31.1,59.0,22.5,86.0,34.81389255200003,22.771,28.79244627600001
1985-01-10,31.8,53.0,23.3,91.0,34.72555032119998,23.676,29.200775160599992
1985-01-11,31.4,56.0,23.7,90.0,34.68281290160002,24.083,29.38290645080001
1985-01-12,28.1,73.0,23.1,98.0,31.29258052179998,23.557,27.42479026089999
1985-01-13,30.3,60.0,23.5,98.0,33.4200405469,23.977000000000004,28.69852027345
1985-01-14,30.0,64.0,23.9,94.0,33.67091441999999,24.345,29.007957209999997
1985-01-15,32.5,45.0,23.0,95.0,34.078231114999994,23.413,28.745615557499995
1985-01-16,30.0,61.0,24.1,91.0,33.040177649999976,24.516000000000005,28.77808882499999
1985-01-17,30.0,55.0,23.9,87.0,31.893020489999984,24.254,28.07351024499999
1985-01-18,30.3,56.0,24.0,84.0,32.599633212899974,24.32,28.459816606449987
1985-01-19,29.5,60.0,22.0,90.0,31.9120020124999,22.298,27.10500100624995
1985-01-20,28.0,63.0,23.3,92.0,29.79822941000002,23.689,26.74361470500001
1985-01-21,29.0,62.0,20.5,92.0,31.35292070000005,20.749,26.050960350000025
1985-01-22,29.0,66.0,21.2,97.0,32.018511740000065,21.549,26.783755870000032
1985-01-23,29.8,61.0,22.5,94.0,32.653563636399994,22.875,27.7642818182
1985-01-24,30.1,61.0,22.1,95.0,33.23676324460004,22.468000000000004,27.852381622300022
1985-01-25,30.6,54.0,21.5,92.0,32.734092460000056,21.799,27.266546230000028
1985-01-26,29.6,59.0,20.0,94.0,31.91409432199999,20.25,26.082047160999995
1985-01-27,29.7,58.0,23.3,80.0,31.913042426699988,23.533,27.723021213349995
1985-01-28,29.5,58.0,24.0,82.0,31.567099397499973,24.294000000000004,27.93054969874999
1985-01-29,29.9,58.0,22.5,96.0,32.267299786299986,22.901000000000003,27.584149893149995
1985-01-30,30.1,67.0,22.7,94.0,34.567618792000005,23.085,28.826309396000003
1985-01-31,31.4,60.0,24.1,94.0,35.71828464560002,24.555000000000003,30.13664232280001
1985-02-01,32.2,62.0,23.0,92.0,38.193226076,23.374,30.783613038
1985-02-02,29.9,62.0,23.4,92.0,33.04686725149999,23.794,28.420433625749997
1985-02-03,30.0,67.0,22.6,92.0,34.33975665000002,22.954,28.64687832500001
1985-02-04,30.1,61.0,22.9,91.0,33.23676324460004,23.256,28.24638162230002
1985-02-05,29.7,67.0,24.0,93.0,33.67054708800003,24.437,29.053773544000016
1985-02-06,30.3,66.0,24.0,93.0,34.786842295900016,24.437,29.611921147950007
1985-02-07,30.5,61.0,23.0,93.0,34.044962875,23.387,28.7159814375
1985-02-08,30.8,66.0,23.4,94.0,35.95784926640003,23.82,29.888924633200016
1985-02-09,31.2,60.0,23.7,98.0,35.281070694399986,24.187,29.734035347199992
1985-02-10,31.8,64.0,24.0,93.0,37.83328874399996,24.437,31.135144371999974
1985-02-11,32.5,60.0,24.0,96.0,38.27669740250005,24.476,31.376348701250024
1985-02-12,31.2,67.0,24.9,98.0,37.23224785799998,25.447000000000003,31.33962392899999
1985-02-13,30.3,69.0,24.1,97.0,35.53152900700001,24.594,30.06276450350001
1985-02-14,30.8,71.0,24.4,96.0,37.367796160400026,24.896,31.131898080200013
1985-02-15,31.2,63.0,23.8,96.0,36.08459419720002,24.266,30.17529709860001
1985-02-16,31.4,61.0,24.4,97.0,35.991276967600015,24.909,30.450138483800007
1985-02-17,31.0,65.0,23.0,95.0,36.16460770999996,23.413,29.788803854999976
1985-02-18,31.5,60.0,23.1,95.0,35.94011685249998,23.518,29.729058426249992
1985-02-19,29.0,59.0,23.4,95.0,30.88738475000001,23.833,27.360192375000004
1985-02-20,28.7,74.0,24.0,94.0,32.79143452549998,24.450000000000003,28.62071726274999
