time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,27.7,72.0,22.8,92.0,30.342968052500037,23.164,26.753484026250018
1985-01-02,27.2,73.0,20.0,97.0,29.4891687892,20.289,24.8890843946
1985-01-03,27.2,71.0,22.8,91.0,29.29832380039993,23.151000000000003,26.22466190019997
1985-01-04,27.6,72.0,22.5,91.0,30.147856779999977,22.836,26.49192838999999
1985-01-05,27.9,66.0,21.5,94.0,29.98778724309995,21.825000000000003,25.906393621549977
1985-01-06,27.4,78.0,21.0,95.0,30.42656968879996,21.313,25.86978484439998
1985-01-07,26.7,76.0,20.6,98.0,28.795818354899943,20.932,24.863909177449976
1985-01-08,27.0,67.0,21.2,96.0,28.618099350000016,21.536,25.07704967500001
1985-01-09,26.9,63.0,21.3,82.0,28.17093900680001,21.459000000000003,24.814969503400008
1985-01-10,28.2,72.0,21.5,93.0,31.35703773999996,21.812,26.584518869999982
1985-01-11,27.7,77.0,21.4,94.0,30.97184866700001,21.72,26.345924333500008
1985-01-12,27.4,78.0,22.3,92.0,30.42656968879996,22.639000000000003,26.53278484439998
1985-01-13,27.6,74.0,23.0,91.0,30.38322682799996,23.361,26.872113413999983
1985-01-14,27.6,78.0,21.2,96.0,30.87486528879994,21.536,26.20543264439997
1985-01-15,24.4,86.0,20.6,96.0,24.766,20.906,22.836
1985-01-16,26.5,77.0,19.8,98.0,28.482320675000032,20.092,24.28716033750002
1985-01-17,27.6,76.0,21.5,97.0,30.6255629976,21.864,26.2447814988
1985-01-18,25.6,86.0,21.7,98.0,26.026000000000003,22.087,24.0565
1985-01-19,27.7,83.0,22.6,98.0,31.787457315200005,23.032000000000004,27.40972865760001
1985-01-20,26.7,72.0,21.2,99.0,28.507395302500026,21.575,25.041197651250013
1985-01-21,27.5,82.0,24.1,93.0,31.14473113750002,24.542,27.84336556875001
1985-01-22,28.0,76.0,24.0,91.0,31.5090376,24.411,27.9600188
1985-01-23,28.5,75.0,23.9,90.0,32.500677460000034,24.293,28.396838730000017
1985-01-24,27.7,75.0,23.9,91.0,30.714755338400067,24.306,27.510377669200032
1985-01-25,28.2,68.0,23.7,92.0,30.78504579119993,24.109,27.447022895599968
1985-01-26,27.8,70.0,24.2,90.0,30.2917365664,24.608,27.4498682832
1985-01-27,28.1,75.0,24.2,92.0,31.58636693359998,24.634,28.110183466799988
1985-01-28,28.0,73.0,23.6,93.0,31.08179581000003,24.017000000000003,27.549397905000017
1985-01-29,28.8,73.0,22.4,98.0,32.84091291720005,22.822000000000003,27.831456458600027
1985-01-30,28.4,72.0,23.8,93.0,31.7806385,24.227000000000004,28.003819250000003
1985-01-31,28.6,75.0,24.6,89.0,32.73592679959998,25.015,28.87546339979999
1985-02-01,29.0,69.0,23.8,88.0,32.55136234999999,24.162000000000003,28.356681175
1985-02-02,29.4,68.0,22.4,94.0,33.22162423680004,22.77,27.995812118400018
1985-02-03,29.0,70.0,22.8,92.0,32.735390140000064,23.164,27.949695070000036
1985-02-04,29.2,66.0,23.6,84.0,32.41843299440001,23.90000000000001,28.159216497200006
1985-02-05,30.1,63.0,23.8,84.0,33.66303775880003,24.110000000000003,28.88651887940001
1985-02-06,29.7,64.0,20.9,94.0,33.0493701045,21.195,27.12218505225
1985-02-07,29.1,71.0,21.5,96.0,33.14804217960002,21.851,27.49952108980001
1985-02-08,28.9,68.0,21.6,90.0,32.1638457473,21.878000000000004,27.02092287365
1985-02-09,28.6,73.0,21.9,90.0,32.3855251948,22.193,27.2892625974
1985-02-10,28.7,71.0,23.5,92.0,32.26156837639992,23.899,28.08028418819996
1985-02-11,29.2,72.0,24.0,89.0,33.57774374000004,24.385,28.981371870000014
1985-02-12,30.2,66.0,24.1,89.0,34.55972519839997,24.49,29.524862599199984
1985-02-13,30.3,67.0,24.2,86.0,35.03053150800005,24.556,29.793265754000025
1985-02-14,29.7,67.0,22.5,90.0,33.67054708800003,22.823,28.24677354400001
1985-02-15,29.5,68.0,23.1,92.0,33.440472072499986,23.479000000000003,28.459736036249996
1985-02-16,30.2,66.0,23.9,86.0,34.55972519839997,24.241,29.400362599199983
1985-02-17,29.8,66.0,24.1,87.0,33.674871130400035,24.46400000000001,29.06943556520002
1985-02-18,29.3,70.0,23.1,88.0,33.40254048790004,23.427000000000003,28.414770243950024
1985-02-19,30.2,68.0,24.0,89.0,35.040466875200025,24.385,29.71273343760001
1985-02-20,28.8,70.0,23.4,86.0,32.30312034240002,23.716,28.00956017120001
1985-02-21,28.2,75.0,22.4,92.0,31.810941540399966,22.744,27.277470770199983
1985-02-22,28.0,71.0,22.3,88.0,30.80778125000003,22.587000000000003,26.69739062500002
1985-02-23,28.1,73.0,22.5,91.0,31.29258052179998,22.836,27.06429026089999
1985-02-24,29.0,70.0,24.0,91.0,32.735390140000064,24.411,28.573195070000036
1985-02-25,27.6,74.0,22.6,93.0,30.38322682799996,22.967,26.67511341399998
1985-02-26,30.1,68.0,24.1,90.0,34.80460405130004,24.503000000000004,29.653802025650023
1985-02-27,29.4,61.0,23.5,89.0,31.906564311600025,23.86,27.88328215580001
1985-02-28,30.2,67.0,22.8,88.0,34.797877078,23.112,28.954938539
1985-03-01,29.9,71.0,23.5,88.0,35.04260062759998,23.847,29.44480031379999
1985-03-02,29.6,69.0,23.1,91.0,33.87505598600001,23.466,28.670527993000004
1985-03-03,29.1,62.0,22.0,92.0,31.532252371499997,22.324,26.92812618575
1985-03-04,30.7,63.0,23.9,88.0,34.95004016119999,24.267,29.608520080599995
1985-03-05,29.7,68.0,23.4,92.0,33.885459881700015,23.794,28.83972994085001
1985-03-06,29.3,77.0,21.5,93.0,34.903945787,21.812,28.3579728935
1985-03-07,29.9,70.0,23.9,91.0,34.80432552910003,24.306,29.555162764550012
1985-03-08,29.4,72.0,22.6,95.0,34.052695600000014,22.993,28.522847800000008
1985-03-09,28.0,61.0,21.0,99.0,29.56746805000004,21.365,25.46623402500002
1985-03-10,28.8,62.0,22.3,94.0,31.000920816000036,22.665,26.832960408000016
1985-03-11,28.8,78.0,20.7,97.0,33.797194787199984,21.024,27.410597393599996
1985-03-12,29.0,79.0,22.6,98.0,34.535885950000065,23.032000000000004,28.783942975000038
1985-03-13,29.1,75.0,22.8,96.0,33.952203745599995,23.216,28.5841018728
1985-03-14,28.5,79.0,23.6,94.0,33.21079569000003,24.03,28.620397845000017
