time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,28.7,79.0,23.6,94.0,33.732427245999986,24.03,28.881213622999997
1985-01-02,29.9,68.0,24.5,93.0,34.340170541300026,24.962000000000003,29.65108527065001
1985-01-03,31.7,67.0,23.8,92.0,38.53928864799998,24.214,31.37664432399999
1985-01-04,31.0,70.0,24.5,93.0,37.60796056,24.962000000000003,31.28498028
1985-01-05,29.6,73.0,23.5,95.0,34.76652011079997,23.938,29.352260055399988
1985-01-06,30.1,71.0,24.1,94.0,35.5415758316,24.555000000000003,30.048287915800003
1985-01-07,27.4,81.0,24.0,94.0,30.77784251959996,24.450000000000003,27.61392125979998
1985-01-08,29.2,71.0,24.0,98.0,33.3759945284,24.502,28.9389972642
1985-01-09,29.5,71.0,24.0,94.0,34.07505292999994,24.450000000000003,29.26252646499997
1985-01-10,29.9,78.0,24.2,97.0,36.82621493629998,24.699,30.76260746814999
1985-01-11,31.7,73.0,23.7,94.0,40.61336760820002,24.135,32.374183804100014
1985-01-12,30.3,70.0,24.2,93.0,35.788837293900045,24.647,30.21791864695002
1985-01-13,29.6,75.0,25.5,90.0,35.235197771600006,25.973,30.604098885800003
1985-01-14,30.8,71.0,24.6,91.0,37.367796160400026,25.041000000000004,31.20439808020001
1985-01-15,31.8,63.0,23.1,96.0,37.5205214812,23.531,30.5257607406
1985-01-16,29.6,71.0,23.1,93.0,34.313139515600014,23.492000000000004,28.90256975780001
1985-01-17,28.4,81.0,22.8,95.0,33.3127138676,23.203000000000003,28.2578569338
1985-01-18,29.0,76.0,22.8,92.0,33.90687154000003,23.164,28.535435770000017
1985-01-19,29.2,77.0,22.4,98.0,34.637674322000024,22.822000000000003,28.729837161000013
1985-01-20,27.2,80.0,23.1,94.0,30.1986467024,23.505000000000003,26.8518233512
1985-01-21,30.5,69.0,25.0,90.0,36.02699325499994,25.448,30.73749662749997
1985-01-22,31.5,66.0,23.8,93.0,37.69643917749998,24.227000000000004,30.961719588749997
1985-01-23,29.9,64.0,25.0,91.0,33.46144140250004,25.461,29.46122070125002
1985-01-24,29.3,63.0,23.4,92.0,32.07339506120002,23.794,27.933697530600007
1985-01-25,29.7,64.0,24.5,87.0,33.0493701045,24.884,28.96668505225
1985-01-26,29.9,61.0,23.3,90.0,32.84577778060001,23.663000000000004,28.254388890300007
1985-01-27,29.9,66.0,22.7,91.0,33.8925424991,23.046,28.46927124955
1985-01-28,30.4,65.0,23.1,91.0,34.77170089160002,23.466,29.11885044580001
1985-01-29,30.0,71.0,23.5,94.0,35.29082144999997,23.925,29.607910724999986
1985-01-30,30.7,71.0,25.4,90.0,37.09930686440002,25.868,31.48365343220001
1985-01-31,27.7,84.0,23.1,94.0,31.92985668650005,23.505000000000003,27.717428343250027
1985-02-01,30.4,71.0,23.4,93.0,36.309040331600016,23.807,30.05802016580001
1985-02-02,30.5,69.0,24.2,93.0,36.02699325499994,24.647,30.336996627499968
1985-02-03,30.5,69.0,24.5,93.0,36.02699325499994,24.962000000000003,30.49449662749997
1985-02-04,28.4,82.0,24.0,96.0,33.49585195600004,24.476,28.98592597800002
1985-02-05,29.0,73.0,23.7,94.0,33.30670627000002,24.135,28.72085313500001
1985-02-06,30.5,67.0,24.7,94.0,35.50302879999995,25.185,30.344014399999978
1985-02-07,30.1,74.0,24.9,93.0,36.31757161550006,25.382,30.849785807750028
1985-02-08,28.8,81.0,23.0,95.0,34.40694045640006,23.413,28.90997022820003
1985-02-09,27.7,63.0,22.8,94.0,29.32734568520005,23.19,26.258672842600028
1985-02-10,25.2,84.0,22.7,95.0,25.58,23.098,24.339
1985-02-11,29.9,70.0,21.9,92.0,34.80432552910003,22.219,28.511662764550017
1985-02-12,29.6,75.0,25.0,92.0,35.235197771600006,25.474000000000004,30.354598885800005
1985-02-13,30.2,72.0,24.2,91.0,36.05520523999999,24.621,30.33810262
1985-02-14,30.5,68.0,24.4,91.0,35.76263962249999,24.831,30.29681981125
1985-02-15,29.8,74.0,23.5,95.0,35.518491380000015,23.938,29.72824569000001
1985-02-16,29.9,68.0,22.1,93.0,34.340170541300026,22.442,28.391085270650013
1985-02-17,30.1,62.0,24.0,92.0,33.447732501500006,24.424,28.935866250750003
1985-02-18,30.4,69.0,25.2,86.0,35.77802856200002,25.606,30.69201428100001
1985-02-19,30.3,72.0,24.6,91.0,36.31707294250002,25.041000000000004,30.67903647125001
1985-02-20,30.8,67.0,23.9,89.0,36.22974581800003,24.28,30.254872909000017
1985-02-21,30.5,70.0,25.2,92.0,36.296089697499966,25.684,30.99004484874998
1985-02-22,30.6,72.0,24.3,96.0,37.11808137999999,24.791000000000004,30.954540689999995
1985-02-23,30.1,65.0,23.2,93.0,34.106656274600006,23.597,28.851828137300004
1985-02-24,29.5,70.0,23.5,93.0,33.85980448749996,23.912,28.885902243749975
1985-02-25,26.6,73.0,22.8,94.0,28.403957642800016,23.19,25.79697882140001
1985-02-26,27.4,81.0,22.9,94.0,30.77784251959996,23.295,27.03642125979998
1985-02-27,28.5,80.0,23.4,93.0,33.395039872499986,23.807,28.601019936249997
1985-02-28,29.8,71.0,23.3,93.0,34.79691336439997,23.702,29.249456682199984
1985-03-01,28.9,75.0,23.4,94.0,33.457686917600014,23.82,28.638843458800007
1985-03-02,26.7,81.0,22.3,97.0,29.174023431400016,22.704,25.93901171570001
1985-03-03,27.9,77.0,23.0,95.0,31.42506540299999,23.413,27.419032701499997
1985-03-04,28.5,76.0,22.7,93.0,32.67417824250002,23.072000000000003,27.87308912125001
1985-03-05,27.9,78.0,22.5,92.0,31.568072608299996,22.849000000000004,27.20853630415
1985-03-06,29.1,72.0,24.4,95.0,33.344119142500034,24.883,29.11355957125001
1985-03-07,28.0,78.0,22.3,98.0,31.80467875999998,22.717,27.260839379999997
1985-03-08,26.9,84.0,23.1,95.0,29.8905557105,23.518,26.70427785525
1985-03-09,28.4,71.0,22.9,96.0,31.62331539559998,23.321,27.47215769779999
1985-03-10,28.7,76.0,23.3,95.0,33.15914924289996,23.728,28.44357462144998
1985-03-11,27.9,79.0,23.0,92.0,31.713137406000023,23.374,27.54356870300001
1985-03-12,29.5,73.0,24.0,92.0,34.51671428499996,24.424,29.47035714249998
1985-03-13,28.9,70.0,24.0,92.0,32.51800553109999,24.424,28.471002765549997
1985-03-14,27.9,69.0,22.9,92.0,30.355081087,23.269,26.8120405435
1985-03-15,26.9,74.0,22.9,93.0,29.01674339150004,23.282,26.14937169575002
1985-03-16,30.0,77.0,23.3,92.0,36.84443685000002,23.689,30.26671842500001
1985-03-17,29.5,72.0,24.1,92.0,34.29402286249993,24.529000000000003,29.411511431249966
1985-03-18,30.9,62.0,24.5,92.0,35.14003962150002,24.949,30.04451981075001
1985-03-19,29.4,70.0,21.2,92.0,33.62992277759997,21.484,27.556961388799987
1985-03-20,30.1,70.0,23.3,94.0,35.29158257110005,23.715000000000003,29.503291285550027
1985-03-21,29.9,72.0,24.6,93.0,35.285007462500005,25.067,30.17600373125
1985-03-22,29.7,76.0,24.8,93.0,35.74613061689996,25.277,30.51156530844998
1985-03-23,29.9,72.0,23.2,96.0,35.285007462500005,23.636,29.46050373125
1985-03-24,29.8,73.0,24.6,92.0,35.27393598520001,25.054,30.163967992600007
1985-03-25,30.0,70.0,24.0,94.0,35.046704340000026,24.450000000000003,29.74835217000001
1985-03-26,30.4,71.0,25.0,92.0,36.309040331600016,25.474000000000004,30.89152016580001
1985-03-27,30.2,74.0,24.0,92.0,36.58920192799998,24.424,30.50660096399999
1985-03-28,30.1,74.0,24.0,92.0,36.31757161550006,24.424,30.37078580775003
1985-03-29,30.0,73.0,23.5,95.0,35.79175749000003,23.938,29.864878745000016
1985-03-30,30.2,72.0,24.8,91.0,36.05520523999999,25.251000000000005,30.65310262
1985-03-31,30.5,64.0,24.1,93.0,34.75265319249999,24.542,29.64732659625
1985-04-01,30.2,70.0,23.3,93.0,35.53896022240004,23.702,29.620480111200017
1985-04-02,30.1,66.0,24.4,93.0,34.33496953310004,24.857,29.59598476655002
1985-04-03,30.2,70.0,23.9,94.0,35.53896022240004,24.345,29.941980111200017
1985-04-04,29.8,66.0,24.9,91.0,33.674871130400035,25.356,29.51543556520002
1985-04-05,30.1,71.0,25.3,93.0,35.5415758316,25.802,30.6717879158
