time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,28.4,,22.4,,,,
1985-01-02,29.6,,21.5,,,,
1985-01-03,30.7,,21.7,,,,
1985-01-04,29.8,,19.4,,,,
1985-01-05,30.4,,19.8,,,,
1985-01-06,30.1,,22.8,,,,
1985-01-07,28.9,,22.6,,,,
1985-01-08,31.0,,22.7,,,,
1985-01-09,32.0,,23.2,,,,
1985-01-10,31.4,,22.3,,,,
1985-01-11,28.6,,22.6,,,,
1985-01-12,31.7,,21.6,,,,
1985-01-13,29.9,,22.5,,,,
1985-01-14,30.3,,22.0,,,,
1985-01-15,29.2,,22.4,,,,
1985-01-16,29.0,,21.5,,,,
1985-01-17,26.9,,21.6,,,,
1985-01-18,28.6,,21.5,,,,
1985-01-19,29.5,,20.6,,,,
1985-01-20,28.9,,22.0,,,,
1985-01-21,30.6,,21.1,,,,
1985-01-22,30.3,,19.4,,,,
1985-01-23,29.0,,20.6,,,,
1985-01-24,30.3,,19.3,,,,
1985-01-25,31.3,,18.9,,,,
1985-01-26,29.2,,20.8,,,,
1985-01-27,30.0,,21.7,,,,
1985-01-28,30.5,,21.4,,,,
1985-01-29,30.4,,17.4,,,,
1985-01-30,30.7,,18.5,,,,
1985-01-31,30.7,,19.5,,,,
1985-02-01,30.7,,19.6,,,,
1985-02-02,28.4,,21.5,,,,
1985-02-03,30.0,,20.4,,,,
1985-02-04,30.5,,19.5,,,,
1985-02-05,28.2,,21.4,,,,
1985-02-06,31.2,,19.8,,,,
1985-02-07,28.6,,22.0,,,,
1985-02-08,30.6,,21.5,,,,
1985-02-09,30.5,,20.5,,,,
1985-02-10,30.7,,19.6,,,,
1985-02-11,30.8,,18.5,,,,
1985-02-12,31.0,,20.3,,,,
1985-02-13,28.6,,21.5,,,,
1985-02-14,30.2,,20.9,,,,
1985-02-15,30.5,,20.3,,,,
1985-02-16,31.6,,21.0,,,,
1985-02-17,31.0,,19.7,,,,
1985-02-18,30.0,,19.5,,,,
1985-02-19,30.0,,20.1,,,,
1985-02-20,28.7,,21.5,,,,
1985-02-21,30.4,,21.4,,,,
1985-02-22,29.9,,20.4,,,,
1985-02-23,30.5,,21.5,,,,
1985-02-24,30.8,,20.4,,,,
1985-02-25,28.7,,20.9,,,,
1985-02-26,31.3,,22.0,,,,
1985-02-27,27.8,,22.5,,,,
1985-02-28,31.4,,22.6,,,,
1985-03-01,29.7,,21.3,,,,
1985-03-02,32.4,,22.2,,,,
1985-03-03,31.8,,22.6,,,,
1985-03-04,31.7,,22.3,,,,
1985-03-05,31.8,,22.6,,,,
1985-03-06,32.0,,21.5,,,,
1985-03-07,30.8,,20.6,,,,
1985-03-08,31.2,,19.5,,,,
1985-03-09,28.7,,22.3,,,,
1985-03-10,30.3,,21.3,,,,
1985-03-11,29.9,,22.3,,,,
1985-03-12,29.6,,21.9,,,,
1985-03-13,29.1,,22.1,,,,
1985-03-14,31.0,,22.3,,,,
1985-03-15,28.7,,22.5,,,,
1985-03-16,30.0,,22.3,,,,
1985-03-17,30.0,,22.5,,,,
1985-03-18,30.7,,21.5,,,,
1985-03-19,30.6,,21.5,,,,
1985-03-20,30.2,,22.5,,,,
1985-03-21,31.3,,21.9,,,,
1985-03-22,29.9,,22.0,,,,
1985-03-23,30.0,,22.1,,,,
1985-03-24,30.8,,22.6,,,,
1985-03-25,31.8,,22.5,,,,
1985-03-26,32.0,,21.3,,,,
1985-03-27,31.7,,21.6,,,,
1985-03-28,32.8,,21.1,,,,
1985-03-29,31.6,,22.5,,,,
1985-03-30,31.3,,21.6,,,,
1985-03-31,31.6,,20.3,,,,
1985-04-01,32.1,,19.1,,,,
1985-04-02,30.3,,20.1,,,,
1985-04-03,32.5,,21.0,,,,
1985-04-04,30.1,,21.6,,,,
1985-04-05,31.7,,21.3,,,,
1985-04-06,31.8,,21.0,,,,
1985-04-07,32.3,,19.7,,,,
1985-04-08,31.3,,22.0,,,,
1985-04-09,31.5,,18.8,,,,
1985-04-10,31.2,,18.8,,,,
1985-04-11,32.3,,21.2,,,,
1985-04-12,32.0,,21.8,,,,
1985-04-13,31.0,,20.6,,,,
1985-04-14,32.3,,21.0,,,,
1985-04-15,32.2,,21.6,,,,
1985-04-16,31.4,,20.7,,,,
1985-04-17,30.0,,21.6,,,,
1985-04-18,31.4,,21.7,,,,
1985-04-19,29.6,,20.0,,,,
1985-04-20,30.6,,20.3,,,,
1985-04-21,31.0,,21.5,,,,
1985-04-22,32.6,,21.4,,,,
1985-04-23,31.7,,21.7,,,,
1985-04-24,31.8,,23.2,,,,
1985-04-25,30.5,,22.0,,,,
1985-04-26,31.8,,22.4,,,,
1985-04-27,29.5,,21.3,,,,
1985-04-28,30.3,,21.7,,,,
1985-04-29,32.3,,21.6,,,,
1985-04-30,31.7,,22.5,,,,
1985-05-01,32.7,,23.4,,,,
1985-05-02,32.7,,21.3,,,,
1985-05-03,32.5,,23.2,,,,
1985-05-04,29.7,,22.2,,,,
1985-05-05,31.7,,22.7,,,,
1985-05-06,31.0,,22.5,,,,
1985-05-07,30.3,,21.7,,,,
1985-05-08,31.5,,22.0,,,,
1985-05-09,32.0,,22.7,,,,
1985-05-10,32.7,,21.4,,,,
1985-05-11,31.7,,21.5,,,,
1985-05-12,31.0,,21.5,,,,
1985-05-13,30.0,,21.7,,,,
1985-05-14,31.3,,22.4,,,,
1985-05-15,29.5,,22.4,,,,
1985-05-16,29.7,,22.9,,,,
1985-05-17,28.4,,22.5,,,,
1985-05-18,31.4,,20.8,,,,
1985-05-19,31.9,,21.3,,,,
1985-05-20,31.5,,21.0,,,,
1985-05-21,29.0,,22.2,,,,
1985-05-22,29.6,,21.7,,,,
1985-05-23,31.5,,22.8,,,,
1985-05-24,31.1,,22.4,,,,
1985-05-25,29.4,,22.6,,,,
1985-05-26,30.3,,21.5,,,,
1985-05-27,30.5,,22.3,,,,
1985-05-28,30.7,,22.6,,,,
1985-05-29,29.3,,22.7,,,,
1985-05-30,31.4,,22.3,,,,
1985-05-31,30.6,,22.6,,,,
1985-06-01,28.6,,23.1,,,,
1985-06-02,28.2,,23.0,,,,
1985-06-03,26.7,,21.8,,,,
1985-06-04,31.5,,21.6,,,,
1985-06-05,31.3,,22.0,,,,
1985-06-06,30.4,,22.4,,,,
1985-06-07,31.6,,21.6,,,,
1985-06-08,31.5,,22.0,,,,
1985-06-09,30.0,,21.5,,,,
1985-06-10,31.4,,21.7,,,,
1985-06-11,30.9,,21.3,,,,
1985-06-12,30.8,,21.0,,,,
1985-06-13,31.2,,21.0,,,,
1985-06-14,32.2,,21.0,,,,
1985-06-15,30.4,,21.8,,,,
1985-06-16,31.4,,21.5,,,,
1985-06-17,31.7,,21.9,,,,
1985-06-18,31.6,,21.9,,,,
1985-06-19,31.8,,21.2,,,,
1985-06-20,30.9,,20.7,,,,
1985-06-21,31.3,,21.7,,,,
1985-06-22,29.9,,21.0,,,,
1985-06-23,32.0,,22.0,,,,
1985-06-24,30.9,,22.3,,,,
1985-06-25,31.1,,22.3,,,,
1985-06-26,31.1,,21.8,,,,
1985-06-27,29.3,,22.5,,,,
1985-06-28,31.2,,22.1,,,,
1985-06-29,29.9,,21.5,,,,
1985-06-30,30.6,,21.5,,,,
1985-07-01,30.4,,21.6,,,,
1985-07-02,30.5,,21.7,,,,
1985-07-03,32.0,,20.3,,,,
1985-07-04,31.3,,20.5,,,,
1985-07-05,31.7,,20.0,,,,
1985-07-06,32.5,,21.3,,,,
1985-07-07,32.3,,20.0,,,,
1985-07-08,31.8,,21.0,,,,
1985-07-09,32.2,,21.2,,,,
1985-07-10,31.0,,21.5,,,,
1985-07-11,30.6,,21.0,,,,
1985-07-12,32.2,,21.8,,,,
1985-07-13,30.6,,21.2,,,,
1985-07-14,32.4,,21.6,,,,
1985-07-15,31.1,,21.5,,,,
1985-07-16,30.8,,20.3,,,,
1985-07-17,31.3,,20.6,,,,
1985-07-18,32.8,,21.7,,,,
1985-07-19,32.3,,21.1,,,,
1985-07-20,32.4,,21.8,,,,
1985-07-21,32.2,,22.2,,,,
1985-07-22,30.5,,21.5,,,,
1985-07-23,31.9,,21.5,,,,
1985-07-24,27.9,,21.7,,,,
1985-07-25,32.2,,21.2,,,,
1985-07-26,31.1,,22.5,,,,
1985-07-27,31.5,,21.8,,,,
1985-07-28,30.7,,20.9,,,,
1985-07-29,31.2,,21.2,,,,
1985-07-30,30.2,,20.3,,,,
1985-07-31,31.9,,20.4,,,,
1985-08-01,32.0,,19.8,,,,
1985-08-02,30.7,,20.7,,,,
1985-08-03,28.8,,22.0,,,,
1985-08-04,30.5,,21.6,,,,
1985-08-05,32.0,,21.0,,,,
1985-08-06,30.5,,20.6,,,,
1985-08-07,30.2,,21.5,,,,
1985-08-08,32.1,,21.5,,,,
1985-08-09,33.2,,20.9,,,,
1985-08-10,32.3,,20.5,,,,
1985-08-11,31.8,,21.7,,,,
1985-08-12,29.7,,21.6,,,,
1985-08-13,30.9,,21.9,,,,
1985-08-14,31.3,,21.6,,,,
1985-08-15,32.6,,21.6,,,,
1985-08-16,32.1,,21.7,,,,
1985-08-17,32.1,,21.4,,,,
1985-08-18,31.7,,20.3,,,,
1985-08-19,31.6,,20.9,,,,
1985-08-20,32.3,,20.3,,,,
1985-08-21,31.2,,21.0,,,,
1985-08-22,30.8,,21.0,,,,
