time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,30.6,67.0,20.3,99.0,35.742871662000056,20.630000000000003,28.18643583100003
1985-01-02,30.6,58.0,19.3,99.0,33.57267589680002,19.58,26.57633794840001
1985-01-03,30.1,70.0,25.1,94.0,35.29158257110005,25.605000000000004,30.448291285550027
1985-01-04,30.0,68.0,25.5,87.0,34.57117194,25.934,30.25258597
1985-01-05,29.9,65.0,25.2,83.0,33.674926082600024,25.567,29.62096304130001
1985-01-06,30.0,66.0,23.7,90.0,34.11257529999999,24.083,29.097787649999997
1985-01-07,29.7,63.0,24.5,88.0,32.85016490920002,24.897,28.87358245460001
1985-01-08,30.5,63.0,25.5,94.0,34.51201360999999,26.025,30.268506804999998
1985-01-09,30.6,68.0,24.0,95.0,36.008225296800035,24.463,30.235612648400014
1985-01-10,30.1,67.0,23.7,99.0,34.567618792000005,24.2,29.383809396000004
1985-01-11,30.1,53.0,19.4,99.0,31.705105203800024,19.685,25.695052601900013
1985-01-12,31.2,57.0,19.1,99.0,34.52659011400003,19.370000000000005,26.948295057000017
1985-01-13,31.0,62.0,23.6,99.0,35.36157319999998,24.09500000000001,29.728286599999997
1985-01-14,27.7,77.0,22.6,99.0,30.97184866700001,23.045,27.00842433350001
1985-01-15,27.5,78.0,23.9,94.0,30.649333227500023,24.345,27.49716661375001
1985-01-16,29.0,73.0,22.5,96.0,33.30670627000002,22.901000000000003,28.10385313500001
1985-01-17,29.7,70.0,24.2,88.0,34.3270661679,24.582,29.45453308395
1985-01-18,28.1,65.0,24.5,94.0,30.208138250599987,24.975,27.591569125299998
1985-01-19,28.8,60.0,23.0,97.0,30.70535139039999,23.439,27.072175695199995
1985-01-20,27.0,70.0,19.5,99.0,28.862587799999982,19.79,24.326293899999992
1985-01-21,29.1,62.0,21.7,99.0,31.532252371499997,22.1,26.81612618575
1985-01-22,29.4,60.0,19.2,98.0,31.733172889599985,19.462,25.597586444799997
1985-01-23,29.4,69.0,20.4,98.0,33.423964222000016,20.722,27.07298211100001
1985-01-24,30.1,49.0,22.7,99.0,31.043340193000013,23.15,27.09667009650001
1985-01-25,31.8,55.0,17.0,99.0,35.236151612399965,17.165,26.200575806199986
1985-01-26,30.1,67.0,23.6,98.0,34.567618792000005,24.082,29.324809396000003
1985-01-27,29.5,72.0,22.6,97.0,34.29402286249993,23.019,28.656511431249967
1985-01-28,31.0,58.0,21.9,99.0,34.36433391999994,22.31,28.337166959999973
1985-01-29,30.7,64.0,21.0,99.0,35.2013897545,21.365,28.28319487725
1985-01-30,29.9,77.0,24.6,97.0,36.559017683000064,25.119,30.839008841500032
1985-01-31,30.0,77.0,25.0,93.0,36.84443685000002,25.487,31.16571842500001
1985-02-01,29.6,68.0,25.7,92.0,33.661750620799985,26.209000000000003,29.935375310399998
1985-02-02,29.6,62.0,21.3,99.0,32.462228023999984,21.680000000000003,27.071114011999995
1985-02-03,30.7,70.0,24.3,95.0,36.81333978190001,24.778,30.79566989095001
1985-02-04,31.6,64.0,23.3,99.0,37.33413744400001,23.78,30.557068722000004
1985-02-05,29.2,77.0,24.0,96.0,34.637674322000024,24.476,29.55683716100001
1985-02-06,29.6,81.0,25.5,97.0,36.73301314759999,26.064,31.398506573799995
