time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,30.5,70.0,24.5,96.0,36.296089697499966,25.001,30.648544848749985
1985-01-02,30.4,65.0,24.6,93.0,34.77170089160002,25.067,29.91935044580001
1985-01-03,31.4,65.0,24.5,93.0,37.13974379960001,24.962000000000003,31.050871899800008
1985-01-04,31.5,62.0,24.4,96.0,36.5025583875,24.896,30.69927919375
1985-01-05,31.0,63.0,24.9,91.0,35.62400327,25.356,30.490001635
1985-01-06,30.7,65.0,24.3,93.0,35.45768470339998,24.752,30.10484235169999
1985-01-07,31.0,66.0,24.6,91.0,36.44278207999998,25.041000000000004,30.74189103999999
1985-01-08,30.5,64.0,24.5,96.0,34.75265319249999,25.001,29.87682659625
1985-01-09,30.5,68.0,24.1,98.0,35.76263962249999,24.607000000000006,30.18481981125
1985-01-10,30.6,67.0,24.0,99.0,35.742871662000056,24.515,30.128935831000028
1985-01-11,30.5,66.0,25.4,89.0,35.248160787499984,25.855,30.551580393749997
1985-01-12,29.5,77.0,23.1,98.0,35.44469487499996,23.557,29.50084743749998
1985-01-13,28.6,74.0,23.5,96.0,32.559330967999955,23.951,28.255165483999978
1985-01-14,28.4,74.0,23.4,97.0,32.10302920400005,23.859,27.981014602000027
1985-01-15,29.8,72.0,24.3,93.0,35.03340998000003,24.752,29.892704990000016
1985-01-16,28.0,85.0,24.0,96.0,32.90754661000001,24.476,28.691773305000005
1985-01-17,30.4,68.0,24.4,95.0,35.519484660800046,24.883,30.20124233040002
1985-01-18,30.4,74.0,25.3,90.0,37.140367904,25.763,31.451683952000003
1985-01-19,31.6,60.0,24.8,94.0,36.16409921359998,25.290000000000003,30.727049606799994
1985-01-20,30.9,73.0,24.4,92.0,38.25072393780003,24.844,31.547361968900017
1985-01-21,31.0,71.0,24.3,93.0,37.912375429999976,24.752,31.33218771499999
1985-01-22,29.6,73.0,25.0,93.0,34.76652011079997,25.487,30.126760055399988
1985-01-23,30.6,69.0,24.6,93.0,36.278423086,25.067,30.672711543
1985-01-24,30.6,67.0,23.6,97.0,35.742871662000056,24.069000000000003,29.90593583100003
1985-01-25,31.1,59.0,23.2,97.0,34.81389255200003,23.649,29.23144627600001
1985-01-26,30.8,67.0,24.1,94.0,36.22974581800003,24.555000000000003,30.392372909000017
1985-01-27,29.9,74.0,24.5,96.0,35.78221634150002,25.001,30.39160817075001
1985-01-28,30.7,68.0,23.9,92.0,36.25624168370004,24.319,30.28762084185002
1985-01-29,29.6,67.0,24.5,96.0,33.45226952199998,25.001,29.226634760999996
1985-01-30,28.8,73.0,23.3,97.0,32.84091291720005,23.754,28.297456458600024
1985-01-31,29.9,71.0,23.4,98.0,35.04260062759998,23.872,29.45730031379999
1985-02-01,29.9,70.0,24.5,93.0,34.80432552910003,24.962000000000003,29.88316276455002
1985-02-02,29.9,71.0,24.8,93.0,35.04260062759998,25.277,30.15980031379999
1985-02-03,28.6,79.0,23.5,96.0,33.47021070999998,23.951,28.71060535499999
1985-02-04,30.5,67.0,22.5,92.0,35.50302879999995,22.849000000000004,29.17601439999998
1985-02-05,28.3,77.0,25.4,93.0,32.36432350699998,25.907,29.13566175349999
1985-02-06,30.1,72.0,23.9,93.0,35.79590509250002,24.332,30.06395254625001
1985-02-07,31.0,57.0,26.0,85.0,34.128144349999985,26.433,30.280572174999996
1985-02-08,30.2,73.0,24.4,96.0,36.31998462519998,24.896,30.60799231259999
1985-02-09,30.9,66.0,25.6,88.0,36.19913495710004,26.052000000000003,31.125567478550018
1985-02-10,28.7,65.0,22.4,95.0,31.27997741539997,22.783,27.031488707699985
1985-02-11,26.8,81.0,22.0,94.0,29.394539224400056,22.35,25.87226961220003
1985-02-12,29.1,64.0,23.2,98.0,31.8681541065,23.662,27.76507705325
1985-02-13,28.9,73.0,22.6,94.0,33.07250888979997,22.980000000000004,28.026254444899987
1985-02-14,28.5,72.0,22.6,96.0,31.99629021250001,23.006,27.501145106250007
1985-02-15,26.0,80.0,22.5,96.0,26.368,22.901000000000003,24.634500000000003
1985-02-16,27.4,84.0,22.5,98.0,31.142886308,22.927,27.034943154
1985-02-17,27.1,84.0,24.1,95.0,30.38259494449997,24.568000000000005,27.475297472249988
1985-02-18,30.2,73.0,24.7,96.0,36.31998462519998,25.211,30.76549231259999
1985-02-19,30.3,69.0,25.8,90.0,35.53152900700001,26.288000000000004,30.909764503500007
1985-02-20,29.4,70.0,26.0,87.0,33.62992277759997,26.459000000000003,30.044461388799988
1985-02-21,29.5,75.0,23.2,96.0,34.9732616,23.636,29.3046308
1985-02-22,30.2,74.0,23.5,96.0,36.58920192799998,23.951,30.27010096399999
1985-02-23,29.0,79.0,26.0,92.0,34.535885950000065,26.524,30.529942975000036
1985-02-24,30.1,77.0,25.4,95.0,37.13259140299999,25.933,31.5327957015
1985-02-25,28.7,83.0,24.4,96.0,34.5373156472,24.896,29.7166578236
1985-02-26,29.4,82.0,24.0,97.0,36.383673935999965,24.489,30.436336967999985
1985-02-27,30.5,65.0,25.1,93.0,34.99803558500002,25.592,30.29501779250001
1985-02-28,30.1,70.0,23.7,97.0,35.29158257110005,24.174,29.732791285550025
1985-03-01,29.4,80.0,24.7,96.0,35.88852970559995,25.211,30.54976485279997
1985-03-02,30.0,75.0,24.6,95.0,36.30962928999996,25.093000000000004,30.701314644999982
1985-03-03,29.9,70.0,24.1,96.0,34.80432552910003,24.581000000000003,29.69266276455002
1985-03-04,29.9,71.0,23.5,94.0,35.04260062759998,23.925,29.48380031379999
1985-03-05,29.7,74.0,23.6,94.0,35.25740153549998,24.03,29.64370076774999
1985-03-06,30.1,67.0,24.0,97.0,34.567618792000005,24.489,29.528309396000004
1985-03-07,28.2,68.0,23.5,97.0,30.78504579119993,23.964,27.374522895599966
1985-03-08,29.7,71.0,23.5,95.0,34.55375966039999,23.938,29.2458798302
1985-03-09,30.0,71.0,25.3,94.0,35.29082144999997,25.815,30.552910724999983
