time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,29.0,47,20.0,98,29.31373235000004,20.302,24.80786617500002
1985-01-02,28.6,63,21.1,97,30.8009206748,21.444000000000003,26.1224603374
1985-01-03,28.9,58,21.2,94,30.579156292299984,21.51,26.04457814614999
1985-01-04,28.2,56,21.0,98,29.296817042399947,21.352000000000004,25.324408521199977
1985-01-05,29.3,56,18.3,98,30.916509506899978,18.517000000000003,24.71675475344999
1985-01-06,28.2,54,20.5,95,29.081992035999995,20.788,24.934996018
1985-01-07,27.9,55,20.0,96,28.799477763600017,20.276,24.53773888180001
1985-01-08,29.0,54,18.7,96,30.175600700000032,18.911,24.543300350000017
1985-01-09,29.8,46,17.9,98,30.194049594400017,18.097,24.14552479720001
1985-01-10,29.2,48,20.6,97,29.67755790319999,20.919000000000004,25.2982789516
1985-01-11,29.4,44,18.4,96,29.451035712000007,18.596,24.023517856
1985-01-12,28.9,59,18.2,98,30.72366702799998,18.412,24.56783351399999
1985-01-13,28.9,58,18.2,99,30.579156292299984,18.425,24.50207814614999
1985-01-14,29.9,48,17.2,97,30.6076026713,17.349,23.97830133565
1985-01-15,29.6,47,17.1,98,30.065743490000003,17.257000000000005,23.661371745000004
1985-01-16,28.9,55,17.6,97,30.1642350316,17.769000000000002,23.966617515800003
1985-01-17,28.9,58,17.6,97,30.579156292299984,17.769000000000002,24.174078146149995
1985-01-18,29.4,51,17.3,98,30.335485759599983,17.467000000000002,23.901242879799995
1985-01-19,29.5,53,18.8,97,30.769968934999984,19.029000000000003,24.899484467499995
1985-01-20,29.8,38,19.7,95,29.253012615200007,19.948,24.600506307600003
1985-01-21,29.8,42,20.5,93,29.69129598800001,20.762,25.226647994000007
1985-01-22,27.6,56,18.4,95,28.51567677359996,18.583,23.549338386799977
1985-01-23,27.6,58,17.9,97,28.69531784879996,18.084,23.389658924399978
1985-01-24,29.1,39,19.2,96,28.620706233999968,19.436,24.028353116999984
1985-01-25,29.2,53,20.1,98,30.3280122932,20.407000000000004,25.3675061466
1985-01-26,29.8,58,21.2,93,32.08913181520001,21.497,26.79306590760001
1985-01-27,29.8,39,19.2,97,29.356539374000025,19.449,24.40276968700001
1985-01-28,28.5,51,18.6,95,29.14241368,18.793000000000003,23.96770684
1985-01-29,28.3,38,18.5,97,27.791777410699996,18.714,23.25288870535
1985-01-30,27.3,67,17.8,98,29.09322124799999,17.992,23.542610623999995
1985-01-31,28.9,45,18.9,96,28.982782748599988,19.121,24.05189137429999
1985-02-01,29.7,36,20.2,91,28.95599268489999,20.421,24.688496342449994
1985-02-02,27.7,62,19.1,95,29.223733893500047,19.318,24.270866946750026
1985-02-03,29.2,52,22.4,85,30.19109681199999,22.653,26.422048405999995
1985-02-04,28.9,45,21.4,86,28.982782748599988,21.616,25.299391374299997
1985-02-05,29.0,46,18.9,90,29.203430140000037,19.043,24.12321507000001
1985-02-06,29.4,40,20.6,88,29.025244233599985,20.802000000000003,24.913622116799992
1985-02-07,29.9,37,18.8,93,29.259151399000025,18.977000000000004,24.11807569950001
1985-02-08,29.5,45,18.2,95,29.688077674999988,18.373,24.030538837499996
1985-02-09,30.0,46,18.2,95,30.4580757,18.373,24.41553785
1985-02-10,30.4,46,18.2,96,31.00577340160003,18.386,24.695886700800017
1985-02-11,29.5,50,17.6,96,30.33634853749999,17.756,24.046174268749997
1985-02-12,29.2,47,16.8,97,29.55770392999998,16.929000000000002,23.24335196499999
1985-02-13,29.3,43,17.7,97,29.225023751199995,17.874000000000002,23.5495118756
1985-02-14,28.9,47,21.3,93,29.194258610000016,21.602000000000004,25.39812930500001
1985-02-15,27.6,54,21.0,95,28.34300182,21.313,24.82800091
1985-02-16,28.9,51,20.0,94,29.654432225600004,20.25,24.9522161128
1985-02-17,29.2,49,19.7,92,29.800824177999992,19.909,24.854912088999995
1985-02-18,29.0,48,21.7,93,29.42724002000002,22.022,25.72462001000001
1985-02-19,27.6,54,20.8,96,28.34300182,21.116,24.72950091
1985-02-20,28.9,41,21.0,94,28.59705291859999,21.3,24.948526459299995
1985-02-21,29.7,45,20.0,92,29.93597122539998,20.224,25.079985612699996
1985-02-22,27.3,57,21.8,92,28.23062062899998,22.114000000000004,25.172310314499992
1985-02-23,29.2,39,18.7,97,28.721715001999986,18.924,23.82285750099999
1985-02-24,28.7,47,18.5,96,28.960335229999966,18.701,23.83066761499998
1985-02-25,28.4,53,17.6,97,29.232935742799995,17.769000000000002,23.5009678714
1985-02-26,29.3,55,20.5,96,30.765302172399984,20.801,25.783151086199997
1985-02-27,28.5,55,21.2,94,29.59469031000001,21.51,25.552345155000005
1985-02-28,27.6,62,20.3,95,29.07549836399999,20.578000000000003,24.826749182
1985-03-01,28.5,60,20.3,95,30.220467722500004,20.578000000000003,25.399233861250003
1985-03-02,28.7,57,21.1,93,30.133260389,21.392000000000003,25.7626301945
1985-03-03,29.5,52,22.3,93,30.62170731249996,22.652,26.636853656249983
1985-03-04,28.2,64,21.0,93,30.25101169199996,21.287,25.769005845999978
1985-03-05,26.5,75,21.1,97,28.35611413999999,21.444000000000003,24.900057069999995
1985-03-06,27.5,67,19.8,97,29.421949899999987,20.079,24.750474949999997
1985-03-07,28.6,58,22.1,94,30.113245604799957,22.455,26.284122802399978
1985-03-08,28.9,52,22.3,89,29.777230190500006,22.6,26.188615095250004
1985-03-09,29.2,40,19.6,94,28.814270562400004,19.83,24.322135281200005
