time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,25.5,85.0,24.0,91.0,25.908,24.411,25.1595
1985-01-02,24.3,88.0,22.9,96.0,24.687000000000005,23.321,24.004
1985-01-03,26.2,75.0,22.3,98.0,26.513,22.717,24.615
1985-01-04,24.7,75.0,22.9,95.0,24.938,23.308,24.123
1985-01-05,25.8,82.0,23.3,92.0,26.184000000000005,23.689,24.9365
1985-01-06,26.2,79.0,23.7,90.0,26.565,24.083,25.324
1985-01-07,26.2,77.0,23.7,87.0,26.539,24.044,25.2915
1985-01-08,26.0,75.0,22.0,90.0,26.303,22.298,24.3005
1985-01-09,25.0,66.0,22.6,86.0,25.136000000000003,22.876000000000005,24.006000000000004
1985-01-10,24.7,68.0,22.7,92.0,24.847,23.059,23.953000000000003
1985-01-11,27.6,72.0,22.8,91.0,30.147856779999977,23.151000000000003,26.64942838999999
1985-01-12,28.2,67.0,23.0,95.0,30.64797871800002,23.413,27.030489359000008
1985-01-13,25.4,68.0,20.0,93.0,25.582,20.237,22.9095
1985-01-14,25.6,75.0,19.8,95.0,25.883000000000003,20.053,22.968000000000004
1985-01-15,24.8,81.0,21.5,97.0,25.121,21.864,23.4925
1985-01-16,24.1,82.0,22.6,93.0,24.399000000000004,22.967,23.683000000000003
1985-01-17,25.6,82.0,23.7,91.0,25.974000000000004,24.096,25.035000000000004
1985-01-18,26.2,80.0,24.3,90.0,26.578,24.713,25.6455
1985-01-19,26.8,81.0,24.1,92.0,29.394539224400056,24.529000000000003,26.96176961220003
1985-01-20,27.8,72.0,23.1,94.0,30.54064688000001,23.505000000000003,27.022823440000007
1985-01-21,27.1,61.0,22.8,84.0,28.28998586860001,23.06,25.674992934300004
1985-01-22,26.2,63.0,19.6,93.0,26.357,19.817,23.087
1985-01-23,23.6,72.0,18.9,95.0,23.744000000000003,19.108,21.426
1985-01-24,25.0,89.0,21.2,99.0,25.435,21.575,23.505000000000003
1985-01-25,25.5,85.0,24.6,91.0,25.908,25.041000000000004,25.474500000000003
1985-01-26,27.9,69.0,24.0,92.0,30.355081087,24.424,27.3895405435
1985-01-27,28.5,55.0,22.6,94.0,29.59469031000001,22.980000000000004,26.287345155000008
1985-01-28,25.5,65.0,21.9,91.0,25.648000000000003,22.206,23.927
1985-01-29,24.0,69.0,20.8,95.0,24.125,21.103,22.614
1985-01-30,25.3,66.0,20.2,92.0,25.451,20.434,22.942500000000003
1985-01-31,25.9,59.0,18.8,97.0,25.99,19.029000000000003,22.509500000000003
1985-02-01,27.2,63.0,19.2,95.0,28.587668229199977,19.423,24.00533411459999
