time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,26.5,59.0,22.5,89.0,26.62,22.81,24.715000000000003
1985-01-02,27.1,65.0,21.3,89.0,28.60786581859999,21.550000000000004,25.0789329093
1985-01-03,27.5,63.0,22.8,87.0,29.02470539000001,23.099000000000004,26.06185269500001
1985-01-04,29.0,53.0,23.5,83.0,30.042860270000023,23.782000000000004,26.91243013500001
1985-01-05,29.7,59.0,22.6,87.0,32.092613124,22.889000000000003,27.490806562000003
1985-01-06,28.5,55.0,22.8,90.0,29.59469031000001,23.138,26.366345155000005
1985-01-07,27.6,57.0,23.6,77.0,28.604626546,23.809000000000005,26.206813273
1985-01-08,26.7,68.0,22.8,87.0,28.23154203570001,23.099000000000004,25.665271017850003
1985-01-09,26.2,60.0,21.1,97.0,26.318,21.444000000000003,23.881
1985-01-10,28.1,65.0,21.0,82.0,30.208138250599987,21.144,25.6760691253
1985-01-11,26.6,69.0,22.0,87.0,28.144037486,22.259,25.201518743
1985-01-12,28.1,61.0,21.9,91.0,29.72033914059997,22.206,25.96316957029999
1985-01-13,26.7,68.0,22.1,86.0,28.23154203570001,22.351000000000003,25.291271017850004
1985-01-14,28.1,59.0,22.5,83.0,29.49004509200004,22.732000000000003,26.111022546000022
1985-01-15,27.2,67.0,23.0,82.0,28.932451137999983,23.244,26.08822556899999
1985-01-16,26.9,68.0,22.0,90.0,28.5404099393,22.298,25.41920496965
1985-01-17,26.5,65.0,21.9,87.0,27.75937806500002,22.154,24.95668903250001
1985-01-18,29.6,62.0,22.2,94.0,32.462228023999984,22.56,27.511114011999997
1985-01-19,29.8,62.0,22.6,86.0,32.849766356,22.876000000000005,27.862883178
1985-01-20,29.5,52.0,23.4,77.0,30.62170731249996,23.599,27.11035365624998
1985-01-21,30.0,57.0,22.9,84.0,32.258470449999976,23.165,27.711735224999988
1985-01-22,28.1,65.0,23.0,82.0,30.208138250599987,23.244,26.726069125299997
