time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,27.9,,22.4,,,,
1985-01-02,29.4,,20.5,,,,
1985-01-03,28.8,,19.6,,,,
1985-01-04,29.2,,19.0,,,,
1985-01-05,28.5,,21.2,,,,
1985-01-06,28.6,,22.7,,,,
1985-01-07,27.6,,22.9,,,,
1985-01-08,29.2,,22.7,,,,
1985-01-09,30.5,,22.9,,,,
1985-01-10,28.6,,22.8,,,,
1985-01-11,27.6,,22.3,,,,
1985-01-12,28.5,,23.0,,,,
1985-01-13,28.0,,22.9,,,,
1985-01-14,27.9,,22.5,,,,
1985-01-15,27.2,,22.0,,,,
1985-01-16,28.7,,22.2,,,,
1985-01-17,26.8,,20.3,,,,
1985-01-18,29.2,,20.7,,,,
1985-01-19,29.0,,19.3,,,,
1985-01-20,29.5,,20.3,,,,
1985-01-21,29.0,,21.2,,,,
1985-01-22,29.8,,20.9,,,,
1985-01-23,28.8,,21.5,,,,
1985-01-24,29.5,,19.5,,,,
1985-01-25,28.0,,18.9,,,,
1985-01-26,28.4,,20.0,,,,
1985-01-27,26.9,,22.1,,,,
1985-01-28,28.6,,18.9,,,,
1985-01-29,29.0,,17.9,,,,
1985-01-30,29.9,,18.4,,,,
1985-01-31,29.7,,18.9,,,,
1985-02-01,27.5,,21.0,,,,
1985-02-02,26.7,,21.9,,,,
1985-02-03,28.8,,21.2,,,,
1985-02-04,29.6,,18.4,,,,
1985-02-05,24.9,,21.8,,,,
1985-02-06,28.5,,18.9,,,,
1985-02-07,28.7,,22.2,,,,
1985-02-08,29.5,,21.5,,,,
1985-02-09,30.3,,20.6,,,,
1985-02-10,29.9,,19.0,,,,
1985-02-11,30.1,,18.9,,,,
1985-02-12,29.8,,20.4,,,,
1985-02-13,27.1,,22.2,,,,
1985-02-14,29.2,,21.0,,,,
1985-02-15,29.1,,19.6,,,,
1985-02-16,28.8,,20.9,,,,
1985-02-17,29.9,,20.0,,,,
1985-02-18,29.0,,20.8,,,,
1985-02-19,29.0,,19.9,,,,
1985-02-20,27.7,,22.5,,,,
1985-02-21,30.3,,19.8,,,,
1985-02-22,30.4,,19.4,,,,
1985-02-23,28.6,,20.6,,,,
1985-02-24,27.7,,21.3,,,,
1985-02-25,26.8,,21.5,,,,
1985-02-26,28.2,,21.8,,,,
1985-02-27,29.3,,22.8,,,,
1985-02-28,29.7,,22.3,,,,
1985-03-01,29.1,,21.4,,,,
1985-03-02,30.7,,21.8,,,,
1985-03-03,29.7,,22.7,,,,
1985-03-04,32.1,,20.9,,,,
1985-03-05,30.9,,20.7,,,,
1985-03-06,30.2,,22.8,,,,
1985-03-07,30.4,,20.5,,,,
1985-03-08,30.1,,20.3,,,,
1985-03-09,27.2,,20.7,,,,
1985-03-10,28.2,,21.0,,,,
1985-03-11,27.8,,21.1,,,,
1985-03-12,28.9,,22.9,,,,
1985-03-13,28.0,,23.6,,,,
1985-03-14,28.6,,22.8,,,,
1985-03-15,26.1,,22.5,,,,
1985-03-16,29.8,,22.7,,,,
1985-03-17,29.8,,22.8,,,,
1985-03-18,29.6,,21.8,,,,
1985-03-19,29.9,,22.7,,,,
1985-03-20,29.2,,22.5,,,,
1985-03-21,30.3,,20.8,,,,
1985-03-22,26.0,,22.5,,,,
1985-03-23,25.3,,22.7,,,,
1985-03-24,28.9,,22.9,,,,
1985-03-25,30.9,,22.7,,,,
1985-03-26,31.7,,20.5,,,,
1985-03-27,31.6,,20.4,,,,
1985-03-28,30.7,,21.9,,,,
1985-03-29,30.0,,21.8,,,,
1985-03-30,30.7,,21.0,,,,
1985-03-31,31.2,,19.8,,,,
1985-04-01,31.7,,18.1,,,,
1985-04-02,31.3,,20.4,,,,
1985-04-03,25.6,,22.9,,,,
1985-04-04,30.9,,21.8,,,,
1985-04-05,30.4,,19.8,,,,
1985-04-06,31.2,,20.0,,,,
1985-04-07,30.6,,20.1,,,,
1985-04-08,30.8,,21.7,,,,
1985-04-09,30.6,,19.2,,,,
1985-04-10,31.4,,20.8,,,,
1985-04-11,31.0,,20.6,,,,
1985-04-12,31.4,,21.0,,,,
1985-04-13,30.2,,21.2,,,,
1985-04-14,31.2,,20.6,,,,
1985-04-15,30.8,,22.1,,,,
1985-04-16,30.7,,21.2,,,,
1985-04-17,31.1,,21.5,,,,
1985-04-18,31.6,,20.7,,,,
1985-04-19,30.6,,20.8,,,,
1985-04-20,29.7,,21.8,,,,
1985-04-21,30.3,,22.2,,,,
1985-04-22,31.2,,22.1,,,,
1985-04-23,29.8,,22.7,,,,
1985-04-24,30.8,,24.0,,,,
