time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,29.2,,23.3,,,,
1985-01-02,29.1,,21.4,,,,
1985-01-03,28.8,,21.5,,,,
1985-01-04,29.9,,20.4,,,,
1985-01-05,28.5,,20.5,,,,
1985-01-06,28.2,,23.2,,,,
1985-01-07,29.3,,24.0,,,,
1985-01-08,29.7,,23.9,,,,
1985-01-09,29.8,,23.9,,,,
1985-01-10,27.8,,22.8,,,,
1985-01-11,28.0,,22.9,,,,
1985-01-12,30.1,,23.0,,,,
1985-01-13,30.0,,22.6,,,,
1985-01-14,30.4,,22.6,,,,
1985-01-15,29.0,,22.1,,,,
1985-01-16,29.4,,22.6,,,,
1985-01-17,29.1,,22.9,,,,
1985-01-18,29.2,,22.2,,,,
1985-01-19,30.2,,20.9,,,,
1985-01-20,29.9,,22.6,,,,
1985-01-21,29.7,,20.9,,,,
1985-01-22,29.9,,21.4,,,,
1985-01-23,29.5,,21.5,,,,
1985-01-24,30.0,,20.0,,,,
1985-01-25,30.0,,20.4,,,,
1985-01-26,29.9,,21.1,,,,
1985-01-27,28.5,,21.7,,,,
1985-01-28,29.9,,21.0,,,,
1985-01-29,29.8,,19.7,,,,
1985-01-30,29.6,,19.3,,,,
1985-01-31,29.8,,19.6,,,,
1985-02-01,29.1,,20.3,,,,
1985-02-02,28.9,,22.4,,,,
1985-02-03,28.7,,19.4,,,,
1985-02-04,29.7,,19.4,,,,
1985-02-05,28.6,,20.4,,,,
1985-02-06,30.0,,21.0,,,,
1985-02-07,29.0,,22.4,,,,
1985-02-08,30.1,,22.1,,,,
1985-02-09,30.0,,21.5,,,,
1985-02-10,29.7,,20.5,,,,
1985-02-11,30.1,,20.0,,,,
1985-02-12,29.5,,19.5,,,,
1985-02-13,26.4,,21.5,,,,
1985-02-14,29.0,,21.2,,,,
1985-02-15,29.4,,21.5,,,,
1985-02-16,29.4,,21.9,,,,
1985-02-17,29.9,,21.2,,,,
1985-02-18,29.6,,20.6,,,,
1985-02-19,29.4,,20.0,,,,
1985-02-20,28.4,,22.1,,,,
1985-02-21,28.1,,21.9,,,,
1985-02-22,29.5,,20.7,,,,
1985-02-23,29.0,,20.0,,,,
1985-02-24,28.5,,20.7,,,,
1985-02-25,26.8,,22.4,,,,
1985-02-26,26.0,,22.0,,,,
1985-02-27,27.6,,23.0,,,,
1985-02-28,29.9,,22.2,,,,
1985-03-01,29.5,,21.2,,,,
1985-03-02,29.5,,22.1,,,,
1985-03-03,29.0,,22.9,,,,
1985-03-04,30.0,,21.9,,,,
1985-03-05,29.5,,22.1,,,,
1985-03-06,28.9,,23.1,,,,
1985-03-07,29.3,,21.6,,,,
1985-03-08,28.9,,20.5,,,,
1985-03-09,28.0,,21.0,,,,
1985-03-10,29.1,,22.4,,,,
1985-03-11,27.4,,23.2,,,,
1985-03-12,28.6,,22.6,,,,
1985-03-13,28.9,,23.0,,,,
1985-03-14,29.1,,22.9,,,,
1985-03-15,29.5,,23.5,,,,
1985-03-16,28.6,,24.6,,,,
1985-03-17,28.6,,23.6,,,,
1985-03-18,29.9,,20.6,,,,
1985-03-19,28.5,,23.0,,,,
1985-03-20,29.1,,21.1,,,,
1985-03-21,29.8,,21.2,,,,
1985-03-22,28.5,,22.0,,,,
1985-03-23,27.6,,22.5,,,,
1985-03-24,30.0,,23.4,,,,
1985-03-25,29.4,,21.6,,,,
1985-03-26,31.4,,21.6,,,,
1985-03-27,30.8,,21.5,,,,
1985-03-28,29.9,,22.9,,,,
1985-03-29,29.9,,22.5,,,,
1985-03-30,30.4,,22.3,,,,
1985-03-31,30.2,,21.8,,,,
1985-04-01,30.5,,20.0,,,,
1985-04-02,30.0,,20.1,,,,
1985-04-03,30.5,,21.4,,,,
1985-04-04,29.5,,23.4,,,,
1985-04-05,30.6,,21.2,,,,
1985-04-06,29.8,,22.4,,,,
1985-04-07,30.3,,21.2,,,,
1985-04-08,29.8,,21.9,,,,
1985-04-09,29.5,,20.4,,,,
1985-04-10,28.6,,21.5,,,,
1985-04-11,29.4,,21.4,,,,
1985-04-12,29.5,,22.8,,,,
1985-04-13,28.6,,22.0,,,,
1985-04-14,29.4,,21.8,,,,
1985-04-15,30.1,,22.5,,,,
1985-04-16,29.7,,21.9,,,,
1985-04-17,29.7,,22.6,,,,
1985-04-18,30.0,,21.5,,,,
1985-04-19,29.7,,22.1,,,,
1985-04-20,30.4,,21.4,,,,
1985-04-21,29.8,,22.9,,,,
1985-04-22,30.3,,22.4,,,,
1985-04-23,28.8,,21.7,,,,
1985-04-24,31.1,,22.8,,,,
1985-04-25,30.7,,23.3,,,,
1985-04-26,30.6,,22.8,,,,
1985-04-27,30.6,,22.4,,,,
1985-04-28,29.8,,22.6,,,,
1985-04-29,29.7,,21.6,,,,
1985-04-30,30.6,,22.9,,,,
1985-05-01,31.6,,23.1,,,,
1985-05-02,31.5,,22.5,,,,
1985-05-03,31.7,,23.1,,,,
1985-05-04,28.7,,23.0,,,,
1985-05-05,29.5,,22.1,,,,
1985-05-06,29.5,,21.5,,,,
1985-05-07,30.1,,23.2,,,,
1985-05-08,31.2,,22.1,,,,
1985-05-09,31.9,,21.2,,,,
1985-05-10,30.5,,22.5,,,,
1985-05-11,31.5,,22.2,,,,
1985-05-12,30.9,,22.2,,,,
1985-05-13,30.7,,22.6,,,,
1985-05-14,31.8,,22.6,,,,
1985-05-15,29.9,,22.8,,,,
1985-05-16,30.1,,22.7,,,,
1985-05-17,30.1,,23.1,,,,
1985-05-18,29.9,,22.3,,,,
1985-05-19,29.9,,21.4,,,,
1985-05-20,28.9,,22.6,,,,
1985-05-21,31.5,,22.5,,,,
1985-05-22,27.5,,22.9,,,,
1985-05-23,30.1,,22.8,,,,
1985-05-24,27.9,,23.0,,,,
1985-05-25,31.9,,22.4,,,,
1985-05-26,28.7,,22.8,,,,
1985-05-27,29.6,,22.7,,,,
1985-05-28,29.6,,23.4,,,,
1985-05-29,30.7,,22.9,,,,
1985-05-30,29.7,,23.6,,,,
1985-05-31,30.4,,23.4,,,,
1985-06-01,30.2,,23.7,,,,
1985-06-02,25.7,,23.6,,,,
1985-06-03,29.6,,23.0,,,,
1985-06-04,31.8,,23.0,,,,
1985-06-05,31.2,,22.7,,,,
1985-06-06,30.7,,23.0,,,,
1985-06-07,30.0,,22.6,,,,
1985-06-08,29.8,,22.7,,,,
1985-06-09,28.3,,22.7,,,,
1985-06-10,32.5,,23.6,,,,
1985-06-11,29.6,,22.3,,,,
1985-06-12,31.0,,22.6,,,,
1985-06-13,32.0,,21.5,,,,
1985-06-14,30.7,,21.6,,,,
1985-06-15,27.6,,23.1,,,,
1985-06-16,28.2,,21.9,,,,
1985-06-17,30.5,,22.5,,,,
1985-06-18,32.4,,21.7,,,,
1985-06-19,30.7,,21.9,,,,
1985-06-20,28.8,,21.9,,,,
1985-06-21,31.8,,22.0,,,,
1985-06-22,27.8,,22.0,,,,
1985-06-23,30.3,,22.6,,,,
1985-06-24,29.8,,22.4,,,,
1985-06-25,30.0,,22.5,,,,
1985-06-26,30.7,,21.5,,,,
1985-06-27,26.4,,23.0,,,,
1985-06-28,29.9,,21.9,,,,
1985-06-29,29.6,,22.5,,,,
1985-06-30,32.7,,21.5,,,,
1985-07-01,31.4,,22.9,,,,
1985-07-02,31.5,,23.2,,,,
1985-07-03,32.2,,22.0,,,,
1985-07-04,31.0,,21.8,,,,
1985-07-05,30.4,,22.0,,,,
1985-07-06,31.5,,22.9,,,,
1985-07-07,32.4,,22.2,,,,
1985-07-08,31.9,,21.6,,,,
1985-07-09,31.8,,22.3,,,,
1985-07-10,31.6,,22.5,,,,
1985-07-11,30.0,,21.4,,,,
