time,tasmax,hursmin,tasmin,hursmax,HIX,HIN,HIM
1985-01-01,28.7,73.0,22.4,95.0,32.61191835219995,22.783,27.697459176099976
1985-01-02,29.7,70.0,26.0,90.0,34.3270661679,26.498,30.41253308395
1985-01-03,30.2,69.0,26.2,93.0,35.28749458999997,28.717302897200003,32.00239874359999
1985-01-04,30.0,67.0,25.7,91.0,34.33975665000002,26.196,30.26787832500001
1985-01-05,30.6,72.0,24.3,92.0,37.11808137999999,24.739000000000004,30.928540689999995
1985-01-06,28.6,76.0,23.9,93.0,32.9153126896,24.332,28.6236563448
1985-01-07,30.4,61.0,25.0,88.0,33.83963437959997,25.422000000000004,29.630817189799988
1985-01-08,29.4,68.0,27.0,87.0,33.22162423680004,30.578186372222245,31.899905304511144
1985-01-09,29.7,73.0,26.2,88.0,35.01892734420001,28.46174758719999,31.7403374657
1985-01-10,29.9,68.0,24.7,96.0,34.340170541300026,25.211,29.77558527065001
1985-01-11,31.0,67.0,26.7,90.0,36.72620454999995,30.28984165545552,33.50802310272773
1985-01-12,29.5,72.0,26.2,92.0,34.29402286249993,28.665692768000007,31.479857815249968
1985-01-13,29.6,75.0,25.0,92.0,35.235197771600006,25.474000000000004,30.354598885800005
1985-01-14,30.3,67.0,23.9,89.0,35.03053150800005,24.28,29.655265754000027
1985-01-15,30.6,67.0,26.5,87.0,35.742871662000056,29.147649949999977,32.445260806000014
1985-01-16,31.0,71.0,26.4,90.0,37.912375429999976,29.09018212960001,33.50127877979999
1985-01-17,30.1,66.0,26.0,94.0,34.33496953310004,26.55,30.442484766550024
1985-01-18,30.3,75.0,25.8,90.0,37.14347410240005,26.288000000000004,31.715737051200023
1985-01-19,28.8,86.0,24.2,97.0,35.518255261511094,24.699,30.108627630755542
1985-01-20,28.0,77.0,24.0,98.0,31.655776850000024,24.502,28.078888425000013
1985-01-21,27.4,74.0,23.8,93.0,29.979627404000038,24.227000000000004,27.10331370200002
1985-01-22,29.6,69.0,26.1,84.0,33.87505598600001,26.52500000000001,30.20002799300001
1985-01-23,30.2,69.0,26.7,87.0,35.28749458999997,29.80801692822221,32.54775575911109
1985-01-24,30.1,68.0,24.9,95.0,34.80460405130004,25.408,30.10630202565002
1985-01-25,29.3,73.0,26.1,90.0,34.024906856199976,26.603,30.31395342809999
1985-01-26,29.4,70.0,23.5,92.0,33.62992277759997,23.899,28.764461388799987
1985-01-27,30.2,67.0,27.0,84.0,34.797877078,30.135093159999972,32.466485118999984
1985-01-28,30.0,72.0,26.3,86.0,35.539172499999964,28.59733459790001,32.06825354894999
1985-01-29,29.7,69.0,24.0,90.0,34.104299574999985,24.398000000000003,29.251149787499998
1985-01-30,29.6,73.0,25.4,87.0,34.76652011079997,25.829,30.297760055399987
1985-01-31,29.8,65.0,24.0,87.0,33.46255085239998,24.359,28.91077542619999
1985-02-01,30.3,67.0,24.0,90.0,35.03053150800005,24.398000000000003,29.714265754000028
1985-02-02,29.7,66.0,25.3,83.0,33.459561193899994,25.672000000000004,29.56578059695
1985-02-03,29.4,64.0,27.3,81.0,32.44845000000001,30.540124287399983,31.4942871437
1985-02-04,29.2,68.0,26.2,86.0,32.79122070320003,26.656,29.723610351600016
1985-02-05,29.8,66.0,25.9,84.0,33.674871130400035,26.315,29.994935565200016
1985-02-06,29.4,66.0,25.2,87.0,32.82779997760001,25.619,29.223399988800004
1985-02-07,29.5,72.0,26.4,84.0,34.29402286249993,28.712333488000034,31.50317817524998
1985-02-08,29.3,68.0,23.8,93.0,33.00520711370004,24.227000000000004,28.61610355685002
1985-02-09,28.9,67.0,24.8,86.0,31.991418591999988,25.186000000000003,28.588709296
1985-02-10,29.0,76.0,24.6,88.0,33.90687154000003,25.002,29.454435770000018
1985-02-11,29.0,73.0,24.7,87.0,33.30670627000002,25.094,29.20035313500001
1985-02-12,28.5,76.0,24.1,84.0,32.67417824250002,24.425000000000004,28.54958912125001
1985-02-13,27.6,73.0,22.6,89.0,30.264671038800014,22.915000000000003,26.589835519400008
1985-02-14,29.0,71.0,26.5,85.0,32.922623390000005,29.010011215000077,30.96631730250004
1985-02-15,29.7,71.0,26.3,85.0,34.55375966039999,28.54127980540006,31.547519732900025
1985-02-16,29.3,67.0,26.0,84.0,32.811813687999994,26.42,29.615906844
1985-02-17,29.5,72.0,26.9,82.0,34.29402286249993,29.707800923499985,32.00091189299996
1985-02-18,29.3,60.0,27.0,82.0,31.55649392089997,29.940040199999967,30.74826706044997
1985-02-19,29.7,62.0,26.6,83.0,32.6548866135,29.101265802800015,30.87807620815001
1985-02-20,29.6,68.0,26.0,82.0,33.661750620799985,26.394,30.027875310399992
1985-02-21,29.5,68.0,26.9,84.0,33.440472072499986,29.8905557105,31.66551389149999
1985-02-22,30.3,70.0,26.5,87.0,35.788837293900045,29.147649949999977,32.46824362195001
1985-02-23,30.5,69.0,26.4,87.0,36.02699325499994,28.89916803399996,32.46308064449995
1985-02-24,29.5,69.0,25.6,87.0,33.64827753499991,26.039,29.84363876749996
1985-02-25,28.3,67.0,23.8,92.0,30.83271026799999,24.214,27.523355134
1985-02-26,30.0,64.0,26.0,81.0,33.67091441999999,26.381,30.025957209999994
1985-02-27,29.9,71.0,26.6,85.0,35.04260062759998,29.248871623600014,32.1457361256
1985-02-28,30.3,64.0,25.7,82.0,34.3130829465,26.079,30.19604147325
1985-03-01,30.2,68.0,25.7,85.0,35.040466875200025,26.118,30.579233437600013
