time,tas,hurs
1985-01-01 02:00:00,24.0,97.0
1985-01-01 05:00:00,24.1,92.0
1985-01-01 08:00:00,26.1,83.0
1985-01-01 11:00:00,29.0,83.0
1985-01-01 14:00:00,27.7,83.0
1985-01-01 17:00:00,26.5,88.0
1985-01-01 20:00:00,25.1,94.0
1985-01-01 23:00:00,24.9,92.0
1985-01-02 02:00:00,24.5,92.0
1985-01-02 05:00:00,23.7,92.0
1985-01-02 08:00:00,27.4,79.0
1985-01-02 11:00:00,29.5,70.0
1985-01-02 14:00:00,26.3,82.0
1985-01-02 17:00:00,27.9,71.0
1985-01-02 20:00:00,26.5,78.0
1985-01-02 23:00:00,26.6,75.0
1985-01-03 02:00:00,26.5,76.0
1985-01-03 05:00:00,25.5,80.0
1985-01-03 08:00:00,26.5,77.0
1985-01-03 11:00:00,23.5,96.0
1985-01-03 14:00:00,23.5,96.0
1985-01-03 17:00:00,26.5,77.0
1985-01-03 20:00:00,26.5,74.0
1985-01-03 23:00:00,26.5,79.0
1985-01-04 02:00:00,26.0,72.0
1985-01-04 05:00:00,25.8,86.0
1985-01-04 08:00:00,26.5,87.0
1985-01-04 11:00:00,26.8,78.0
1985-01-04 14:00:00,26.5,78.0
1985-01-04 17:00:00,24.5,92.0
1985-01-04 20:00:00,23.1,96.0
1985-01-04 23:00:00,22.6,98.0
1985-01-05 02:00:00,22.3,98.0
1985-01-05 05:00:00,24.4,89.0
1985-01-05 08:00:00,25.0,85.0
1985-01-05 11:00:00,27.0,81.0
1985-01-05 14:00:00,29.2,70.0
1985-01-05 17:00:00,27.8,76.0
1985-01-05 20:00:00,26.9,76.0
1985-01-05 23:00:00,26.0,77.0
1985-01-06 02:00:00,25.4,81.0
1985-01-06 05:00:00,24.8,81.0
1985-01-06 08:00:00,26.8,77.0
1985-01-06 11:00:00,27.7,78.0
1985-01-06 14:00:00,27.9,77.0
1985-01-06 17:00:00,27.1,84.0
1985-01-06 20:00:00,26.2,88.0
1985-01-06 23:00:00,25.4,83.0
1985-01-07 02:00:00,25.1,80.0
1985-01-07 05:00:00,25.2,79.0
1985-01-07 08:00:00,26.5,78.0
1985-01-07 11:00:00,23.8,97.0
1985-01-07 14:00:00,25.8,83.0
1985-01-07 17:00:00,26.5,64.0
1985-01-07 20:00:00,25.4,81.0
1985-01-07 23:00:00,25.6,79.0
1985-01-08 02:00:00,23.1,95.0
1985-01-08 05:00:00,24.2,90.0
1985-01-08 08:00:00,27.8,72.0
1985-01-08 11:00:00,28.8,74.0
1985-01-08 14:00:00,29.3,71.0
1985-01-08 17:00:00,27.8,78.0
1985-01-08 20:00:00,26.9,78.0
1985-01-08 23:00:00,25.5,80.0
1985-01-09 02:00:00,24.0,88.0
1985-01-09 05:00:00,23.0,91.0
1985-01-09 08:00:00,27.3,73.0
1985-01-09 11:00:00,30.0,69.0
1985-01-09 14:00:00,29.5,75.0
1985-01-09 17:00:00,28.3,79.0
1985-01-09 20:00:00,26.9,80.0
1985-01-09 23:00:00,25.5,84.0
1985-01-10 02:00:00,25.3,81.0
1985-01-10 05:00:00,24.7,80.0
1985-01-10 08:00:00,28.3,71.0
1985-01-10 11:00:00,28.5,78.0
1985-01-10 14:00:00,29.4,71.0
1985-01-10 17:00:00,27.7,80.0
1985-01-10 20:00:00,26.4,81.0
1985-01-10 23:00:00,25.3,86.0
1985-01-11 02:00:00,24.5,92.0
1985-01-11 05:00:00,24.3,92.0
1985-01-11 08:00:00,26.8,82.0
1985-01-11 11:00:00,29.2,72.0
1985-01-11 14:00:00,28.7,77.0
1985-01-11 17:00:00,28.7,85.0
1985-01-11 20:00:00,27.0,86.0
1985-01-11 23:00:00,25.7,86.0
1985-01-12 02:00:00,24.6,87.0
1985-01-12 05:00:00,23.8,90.0
1985-01-12 08:00:00,27.5,74.0
1985-01-12 11:00:00,29.5,72.0
1985-01-12 14:00:00,30.1,71.0
1985-01-12 17:00:00,29.4,69.0
