time,tas,hurs
1985-01-01 01:00:00,25.7,77.0
1985-01-01 04:00:00,24.4,86.0
1985-01-01 07:00:00,26.2,75.0
1985-01-01 10:00:00,29.4,68.0
1985-01-01 13:00:00,30.0,65.0
1985-01-01 16:00:00,29.8,77.0
1985-01-01 19:00:00,27.1,74.0
1985-01-01 22:00:00,25.1,78.0
1985-01-02 01:00:00,24.8,81.0
1985-01-02 04:00:00,23.8,78.0
1985-01-02 07:00:00,25.2,71.0
1985-01-02 10:00:00,29.0,68.0
1985-01-02 13:00:00,29.0,68.0
1985-01-02 16:00:00,27.6,81.0
1985-01-02 19:00:00,27.4,69.0
1985-01-02 22:00:00,23.9,72.0
1985-01-03 01:00:00,23.3,68.0
1985-01-03 04:00:00,22.3,72.0
1985-01-03 07:00:00,24.8,63.0
1985-01-03 10:00:00,29.6,62.0
1985-01-03 13:00:00,30.4,61.0
1985-01-03 16:00:00,29.9,68.0
1985-01-03 19:00:00,27.0,70.0
1985-01-03 22:00:00,25.0,78.0
1985-01-04 01:00:00,25.2,76.0
1985-01-04 04:00:00,22.5,77.0
1985-01-04 07:00:00,26.2,57.0
1985-01-04 10:00:00,30.7,51.0
1985-01-04 13:00:00,30.7,60.0
1985-01-04 16:00:00,29.8,76.0
1985-01-04 19:00:00,26.7,72.0
1985-01-04 22:00:00,25.4,72.0
1985-01-05 01:00:00,24.5,67.0
1985-01-05 04:00:00,23.8,69.0
1985-01-05 07:00:00,26.8,57.0
1985-01-05 10:00:00,28.7,64.0
1985-01-05 13:00:00,30.2,59.0
1985-01-05 16:00:00,29.6,67.0
1985-01-05 19:00:00,27.0,72.0
1985-01-05 22:00:00,24.8,75.0
1985-01-06 01:00:00,22.8,86.0
1985-01-06 04:00:00,23.2,70.0
1985-01-06 07:00:00,25.1,69.0
1985-01-06 10:00:00,29.0,68.0
1985-01-06 13:00:00,30.4,61.0
1985-01-06 16:00:00,29.4,86.0
1985-01-06 19:00:00,27.1,69.0
1985-01-06 22:00:00,24.0,75.0
1985-01-07 01:00:00,24.0,78.0
1985-01-07 04:00:00,23.5,76.0
1985-01-07 07:00:00,25.3,65.0
1985-01-07 10:00:00,29.8,65.0
1985-01-07 13:00:00,29.5,62.0
1985-01-07 16:00:00,28.3,78.0
1985-01-07 19:00:00,26.9,71.0
1985-01-07 22:00:00,25.2,66.0
1985-01-08 01:00:00,23.8,75.0
1985-01-08 04:00:00,23.3,68.0
1985-01-08 07:00:00,26.4,67.0
1985-01-08 10:00:00,30.6,54.0
1985-01-08 13:00:00,30.0,63.0
1985-01-08 16:00:00,30.3,75.0
1985-01-08 19:00:00,27.0,70.0
1985-01-08 22:00:00,24.8,73.0
1985-01-09 01:00:00,24.0,67.0
1985-01-09 04:00:00,23.7,71.0
1985-01-09 07:00:00,26.4,67.0
1985-01-09 10:00:00,29.7,64.0
1985-01-09 13:00:00,30.7,61.0
1985-01-09 16:00:00,29.9,67.0
1985-01-09 19:00:00,27.2,69.0
1985-01-09 22:00:00,23.3,78.0
1985-01-10 01:00:00,23.7,68.0
1985-01-10 04:00:00,23.0,65.0
1985-01-10 07:00:00,26.7,59.0
1985-01-10 10:00:00,29.8,65.0
1985-01-10 13:00:00,30.0,60.0
1985-01-10 16:00:00,29.4,68.0
1985-01-10 19:00:00,25.9,76.0
1985-01-10 22:00:00,24.4,66.0
1985-01-11 01:00:00,22.1,42.0
1985-01-11 04:00:00,24.0,51.0
1985-01-11 07:00:00,25.3,66.0
1985-01-11 10:00:00,30.6,55.0
1985-01-11 13:00:00,31.1,65.0
1985-01-11 16:00:00,29.0,42.0
1985-01-11 19:00:00,27.6,77.0
1985-01-11 22:00:00,24.5,91.0
1985-01-12 01:00:00,26.5,70.0
1985-01-12 04:00:00,25.8,76.0
1985-01-12 07:00:00,27.0,65.0
1985-01-12 10:00:00,29.2,68.0
1985-01-12 13:00:00,30.4,63.0
1985-01-12 16:00:00,31.0,70.0
1985-01-12 19:00:00,27.3,71.0
1985-01-12 22:00:00,26.6,71.0
1985-01-13 01:00:00,25.8,82.0
1985-01-13 04:00:00,25.8,72.0
1985-01-13 07:00:00,26.9,71.0
1985-01-13 10:00:00,30.8,47.0
1985-01-13 13:00:00,31.4,47.0
1985-01-13 16:00:00,30.7,82.0
1985-01-13 19:00:00,26.3,80.0
1985-01-13 22:00:00,24.2,88.0
1985-01-14 01:00:00,25.0,79.0
1985-01-14 04:00:00,24.5,78.0
1985-01-14 07:00:00,25.0,85.0
1985-01-14 10:00:00,26.3,77.0
1985-01-14 13:00:00,24.3,82.0
1985-01-14 16:00:00,24.6,79.0
1985-01-14 19:00:00,23.0,90.0
1985-01-14 22:00:00,24.3,89.0
1985-01-15 01:00:00,24.2,90.0
1985-01-15 04:00:00,23.5,90.0
1985-01-15 07:00:00,25.1,90.0
1985-01-15 10:00:00,25.1,91.0
1985-01-15 13:00:00,24.3,94.0
1985-01-15 16:00:00,25.7,90.0
1985-01-15 19:00:00,25.4,89.0
1985-01-15 22:00:00,25.2,98.0
1985-01-16 01:00:00,25.3,98.0
1985-01-16 04:00:00,25.1,96.0
1985-01-16 07:00:00,24.1,96.0
1985-01-16 10:00:00,25.8,94.0
1985-01-16 13:00:00,26.3,92.0
1985-01-16 16:00:00,26.3,98.0
1985-01-16 19:00:00,25.8,95.0
1985-01-16 22:00:00,26.0,87.0
1985-01-17 01:00:00,26.0,85.0
1985-01-17 04:00:00,25.8,89.0
1985-01-17 07:00:00,24.6,96.0
1985-01-17 10:00:00,26.4,95.0
1985-01-17 13:00:00,28.7,73.0
1985-01-17 16:00:00,26.4,85.0
1985-01-17 19:00:00,26.2,78.0
1985-01-17 22:00:00,25.8,86.0
1985-01-18 01:00:00,25.0,95.0
1985-01-18 04:00:00,24.5,96.0
1985-01-18 07:00:00,24.3,94.0
1985-01-18 10:00:00,25.0,92.0
1985-01-18 13:00:00,26.4,87.0
1985-01-18 16:00:00,26.1,95.0
1985-01-18 19:00:00,28.0,87.0
1985-01-18 22:00:00,24.2,91.0
1985-01-19 01:00:00,24.1,92.0
1985-01-19 04:00:00,25.1,86.0
1985-01-19 07:00:00,25.1,92.0
1985-01-19 10:00:00,26.8,86.0
1985-01-19 13:00:00,26.9,85.0
1985-01-19 16:00:00,26.2,92.0
1985-01-19 19:00:00,25.9,91.0
1985-01-19 22:00:00,26.0,83.0
1985-01-20 01:00:00,25.3,88.0
1985-01-20 04:00:00,25.5,86.0
1985-01-20 07:00:00,26.0,90.0
1985-01-20 10:00:00,27.2,87.0
1985-01-20 13:00:00,27.4,89.0
1985-01-20 16:00:00,28.2,88.0
1985-01-20 19:00:00,26.9,84.0
1985-01-20 22:00:00,26.0,88.0
1985-01-21 01:00:00,25.2,92.0
1985-01-21 04:00:00,24.6,95.0
1985-01-21 07:00:00,25.8,89.0
1985-01-21 10:00:00,28.9,72.0
1985-01-21 13:00:00,27.8,86.0
1985-01-21 16:00:00,28.3,92.0
1985-01-21 19:00:00,27.2,82.0
1985-01-21 22:00:00,26.1,87.0
1985-01-22 01:00:00,25.1,84.0
1985-01-22 04:00:00,25.5,82.0
1985-01-22 07:00:00,25.4,90.0
1985-01-22 10:00:00,27.1,83.0
1985-01-22 13:00:00,26.3,83.0
1985-01-22 16:00:00,27.1,84.0
1985-01-22 19:00:00,27.1,75.0
1985-01-22 22:00:00,25.9,86.0
1985-01-23 01:00:00,25.3,91.0
1985-01-23 04:00:00,24.2,90.0
1985-01-23 07:00:00,25.1,83.0
1985-01-23 10:00:00,27.3,83.0
1985-01-23 13:00:00,28.6,82.0
1985-01-23 16:00:00,27.8,91.0
1985-01-23 19:00:00,26.5,81.0
1985-01-23 22:00:00,25.7,77.0
1985-01-24 01:00:00,25.3,81.0
1985-01-24 04:00:00,24.8,81.0
1985-01-24 07:00:00,25.5,69.0
1985-01-24 10:00:00,30.0,62.0
1985-01-24 13:00:00,29.6,67.0
1985-01-24 16:00:00,28.3,81.0
1985-01-24 19:00:00,27.0,84.0
1985-01-24 22:00:00,25.2,87.0
1985-01-25 01:00:00,24.3,75.0
1985-01-25 04:00:00,25.0,88.0
1985-01-25 07:00:00,25.3,73.0
1985-01-25 10:00:00,29.2,63.0
1985-01-25 13:00:00,29.3,67.0
1985-01-25 16:00:00,28.9,75.0
1985-01-25 19:00:00,26.9,78.0
1985-01-25 22:00:00,24.6,94.0
1985-01-26 01:00:00,23.0,92.0
1985-01-26 04:00:00,23.4,78.0
1985-01-26 07:00:00,24.9,79.0
1985-01-26 10:00:00,29.1,66.0
1985-01-26 13:00:00,29.8,67.0
1985-01-26 16:00:00,29.6,92.0
1985-01-26 19:00:00,26.1,78.0
1985-01-26 22:00:00,25.3,77.0
1985-01-27 01:00:00,24.8,71.0
1985-01-27 04:00:00,24.6,69.0
1985-01-27 07:00:00,24.5,72.0
1985-01-27 10:00:00,29.0,64.0
1985-01-27 13:00:00,29.2,69.0
1985-01-27 16:00:00,28.5,71.0
1985-01-27 19:00:00,27.0,79.0
1985-01-27 22:00:00,24.0,91.0
1985-01-28 01:00:00,24.2,80.0
1985-01-28 04:00:00,23.5,83.0
1985-01-28 07:00:00,24.8,78.0
1985-01-28 10:00:00,28.6,71.0
1985-01-28 13:00:00,29.9,65.0
1985-01-28 16:00:00,28.8,80.0
1985-01-28 19:00:00,26.1,83.0
1985-01-28 22:00:00,25.6,79.0
1985-01-29 01:00:00,25.8,76.0
1985-01-29 04:00:00,25.0,78.0
1985-01-29 07:00:00,25.2,72.0
1985-01-29 10:00:00,29.0,68.0
1985-01-29 13:00:00,29.6,54.0
1985-01-29 16:00:00,28.5,76.0
1985-01-29 19:00:00,26.8,64.0
1985-01-29 22:00:00,24.9,69.0
1985-01-30 01:00:00,25.5,64.0
1985-01-30 04:00:00,23.2,66.0
1985-01-30 07:00:00,24.8,68.0
1985-01-30 10:00:00,28.9,67.0
1985-01-30 13:00:00,30.0,65.0
1985-01-30 16:00:00,29.9,64.0
1985-01-30 19:00:00,27.3,78.0
1985-01-30 22:00:00,25.7,76.0
1985-01-31 01:00:00,23.4,87.0
1985-01-31 04:00:00,23.2,84.0
1985-01-31 07:00:00,24.5,76.0
1985-01-31 10:00:00,27.4,79.0
