time,tas,hurs
1988-01-01 00:00:00,25.3,93.0
1988-01-01 03:00:00,25.0,95.0
1988-01-01 06:00:00,24.1,99.0
1988-01-01 09:00:00,26.0,95.0
1988-01-01 12:00:00,28.4,84.0
1988-01-01 15:00:00,29.9,72.0
1988-01-01 18:00:00,27.5,81.0
1988-01-01 21:00:00,25.0,96.0
1988-01-02 00:00:00,23.5,99.0
1988-01-02 03:00:00,22.8,99.0
1988-01-02 06:00:00,23.0,99.0
1988-01-02 09:00:00,25.9,92.0
1988-01-02 12:00:00,29.6,71.0
1988-01-02 15:00:00,30.0,66.0
1988-01-02 18:00:00,28.0,80.0
1988-01-02 21:00:00,25.8,90.0
1988-01-03 00:00:00,24.2,95.0
1988-01-03 03:00:00,23.5,97.0
1988-01-03 06:00:00,23.5,99.0
1988-01-03 09:00:00,24.6,97.0
1988-01-03 12:00:00,26.4,90.0
1988-01-03 15:00:00,29.6,71.0
1988-01-03 18:00:00,27.3,78.0
1988-01-03 21:00:00,24.5,96.0
1988-01-04 00:00:00,23.5,99.0
1988-01-04 03:00:00,23.8,99.0
1988-01-04 06:00:00,24.0,99.0
1988-01-04 09:00:00,25.3,96.0
1988-01-04 12:00:00,29.5,75.0
1988-01-04 15:00:00,27.9,80.0
1988-01-04 18:00:00,27.9,80.0
1988-01-04 21:00:00,25.2,96.0
1988-01-05 00:00:00,24.2,98.0
1988-01-05 03:00:00,23.2,99.0
1988-01-05 06:00:00,22.9,100.0
1988-01-05 09:00:00,25.0,97.0
1988-01-05 12:00:00,28.8,81.0
1988-01-05 15:00:00,28.2,83.0
1988-01-05 18:00:00,25.6,98.0
1988-01-05 21:00:00,24.4,98.0
1988-01-06 00:00:00,23.7,97.0
1988-01-06 03:00:00,23.9,98.0
1988-01-06 06:00:00,24.2,100.0
1988-01-06 09:00:00,25.5,97.0
1988-01-06 12:00:00,28.5,83.0
1988-01-06 15:00:00,29.1,77.0
1988-01-06 18:00:00,27.4,86.0
1988-01-06 21:00:00,24.6,96.0
1988-01-07 00:00:00,24.5,97.0
1988-01-07 03:00:00,23.6,97.0
1988-01-07 06:00:00,23.7,98.0
1988-01-07 09:00:00,25.9,90.0
